2119,29/03/2016 6:00,0.00078,0.02335,0.02434,0.178,0.01179,5.601,MS,2.747,1.027,MS,6.911,318.537,0.00028,0.00309,0.0216,0.02511,0.23,0.01029,9.7,MS,MS,6.814,276.235,0.998,13.202,14.385,0.22,18.925,7.535,1.505,87.276,9.1,299.53
2120,29/03/2016 7:00,0.00374,0.02743,0.03137,0.231,0.01203,9.347,MS,2.97,1.839,MS,9.075,325.57,0.00042,0.00996,0.03118,0.04183,0.32,0.00371,6.917,MS,MS,6.929,277.664,2.106,16.853,19.145,0.249,19.275,8.353,1.603,79.628,9.389,298.213
2121,29/03/2016 8:00,0.00296,0.01218,0.01523,0.161,0.02912,4.457,MS,2.011,3.667,MS,15.797,337.76,0.00038,0.01051,0.02534,0.03646,0.287,0.01439,4.573,MS,MS,8.162,311.893,1.946,8.629,10.74,0.221,32.067,6.132,0.955,61.33,10.137,286.745
2122,29/03/2016 9:00,0.0018,0.00528,0.00713,0.125,0.03753,3.027,MS,1.387,5.456,MS,16.277,342.802,0.00052,0.00818,0.01616,0.02503,0.211,0.02744,2.891,MS,MS,11.005,315.63,1.704,4.914,6.778,0.203,38.136,4.263,1.068,49.904,10.981,303.791
2123,29/03/2016 10:00,0.00127,0.00338,0.00475,0.11,0.04096,4.277,MS,1.212,6.886,MS,15.968,343.15,0.00057,0.02117,0.01859,0.04043,0.187,0.0294,2.825,MS,MS,7.933,318.17,0.825,1.894,2.908,0.182,43.32,2.938,1.228,41.516,12.269,336.797
2124,29/03/2016 11:00,0.001,0.00265,0.00375,0.103,0.04305,1.995,MS,1.254,8.004,MS,15.94,349.09,0.00028,0.02066,0.01524,0.03656,0.183,0.03082,2.779,MS,MS,0.711,348.635,0.678,1.5,2.38,0.194,45.237,3.585,1.387,35.22,10.451,344.151
2125,29/03/2016 12:00,0.00052,0.00176,0.00236,0.102,0.04671,0.299,MS,1.044,9.071,MS,12.614,5.098,0.00017,0.00666,0.0067,0.01375,0.162,0.0392,1.457,MS,MS,6.458,311.753,0.388,1.01,1.588,0.167,47.554,3.114,1.236,29.803,8.14,354.592
2126,29/03/2016 13:00,0.00051,0.00182,0.00242,0.101,0.04784,-2.545,MS,1.082,10.006,MS,8.689,6.046,0.00013,0.00789,0.00717,0.01565,0.162,0.03983,1.195,MS,MS,4.56,321.29,0.325,0.908,1.436,0.189,47.971,4.138,1.41,27.988,6.143,352.576
2127,29/03/2016 14:00,0.00048,0.00168,0.00226,0.102,0.04826,-1.793,MS,1.1,10.852,MS,7.671,4.891,-0.0001,0.00132,0.00391,0.00563,0.159,0.04255,1.211,MS,MS,3.786,15.992,0.3,0.756,1.238,0.174,48.786,1.895,1.391,26.389,6.312,342.292
2128,29/03/2016 15:00,0.00046,0.00177,0.00231,0.103,0.04827,5.537,MS,1.189,11.392,MS,8.066,350.339,-0.00007,0.0005,0.00263,0.00372,0.15,0.04369,0.986,MS,MS,2.568,298.897,0.403,1.154,1.764,0.188,48.421,0.803,1.645,26.006,4.401,0.011
2129,29/03/2016 16:00,0.00063,0.00236,0.00306,0.107,0.04837,5.658,MS,2.24,12.08,MS,5.189,357.028,0.00003,0.00048,0.0028,0.00398,0.158,0.04393,0.94,MS,MS,3.394,236.074,0.458,1.223,1.898,0.161,48.883,2.795,1.893,26.258,6.117,258.944
2130,29/03/2016 17:00,0.00227,0.00479,0.00718,0.116,0.04762,3.972,MS,2.382,12.547,MS,3.818,123.879,-0.00002,0.0006,0.00413,0.00508,0.159,0.04329,1.262,MS,MS,3.863,66.666,0.432,1.354,2.034,0.133,49.762,5.947,1.965,24.222,1.126,336.4
2131,29/03/2016 18:00,0.00049,0.00351,0.00412,0.114,0.04807,3.281,MS,2.286,12.128,MS,4.394,120.364,0.00003,0.00042,0.0042,0.00503,0.166,0.04272,1.726,MS,MS,6.183,85.17,0.394,2.25,2.918,0.145,48.397,3.942,2.182,24.935,3.397,73.198
2132,29/03/2016 19:00,0.00017,0.00393,0.00423,0.113,0.04753,0.789,MS,2.385,10.786,MS,11.914,88.881,0.00013,0.00015,0.00534,0.00592,0.152,0.04093,1.59,MS,MS,7.361,93.315,0.338,5.53,6.115,0.151,44.579,4.895,2.563,28.452,4.671,70.625
2133,29/03/2016 20:00,0.00004,0.00734,0.00748,0.145,0.04195,-0.581,MS,3.177,8.559,MS,14.337,81.041,-0.00013,0.0003,0.01148,0.01216,0.157,0.03221,2.874,MS,MS,7.354,64.352,0.182,10.14,10.588,0.194,38.969,7,3.311,35.619,4.75,79.912
2134,29/03/2016 21:00,0.00008,0.00989,0.01006,0.162,0.03854,0.372,MS,3.351,7.796,MS,6.235,98.025,-0.00008,0.00025,0.01504,0.01566,0.165,0.02512,5.394,MS,MS,3.322,106.349,0.334,10.324,10.951,0.195,38.096,6.962,4.304,39.237,2.594,105.022
2135,29/03/2016 22:00,0.00004,0.0112,0.01136,0.15,0.03389,1.122,MS,3.596,6.943,MS,2.299,180.527,0.00008,0.00047,0.01462,0.0155,0.205,0.02603,4.837,MS,MS,2.733,242.52,0.391,18.751,19.443,0.232,28.342,8.691,5.242,41.671,2.066,221.211
2136,29/03/2016 23:00,0.00013,0.01984,0.02019,0.178,0.02654,1.522,MS,5.95,7.173,MS,4.907,207.753,0.00012,0.00012,0.01616,0.01671,0.23,0.02487,4.59,MS,MS,6.529,236.686,0.299,16.121,16.716,0.223,29.073,9.278,4.64,42.79,4.236,264.018
2137,30/03/2016 0:00,0.00007,0.0173,0.01758,0.151,0.02857,4.182,MS,3.096,6.826,MS,4.728,274.462,0.00012,0.00015,0.01787,0.01838,0.24,0.0217,5.408,MS,MS,3.892,273.685,0.295,11.393,11.96,0.251,31.082,7.2,3.239,45.752,7.035,304.647
2138,30/03/2016 1:00,0.0001,0.01879,0.01914,0.155,0.02623,5.067,MS,3.701,7.156,MS,2.808,342.997,-0.00017,0.00028,0.01359,0.01428,0.209,0.02619,5.175,MS,MS,6.652,272.618,0.31,11.839,12.446,0.251,28.075,6.393,3.283,47.86,6.235,300.923
2139,30/03/2016 2:00,0.00008,0.01177,0.012,0.139,0.031,2.88,MS,3.797,7.158,MS,6.341,347.82,Z,Z,Z,Z,Z,Z,2.889,MS,MS,7.509,289.591,0.252,13.783,14.384,0.246,25.328,7.04,4.395,47.648,8.108,300.917
2140,30/03/2016 3:00,0.00014,0.01234,0.01264,0.119,0.02836,0.343,MS,3.412,7.812,MS,8.582,325.099,0.00053,0.00002,0.01269,0.01303,0.201,0.0234,3.082,MS,MS,5.979,283.603,0.269,14.095,14.707,0.218,24.107,7.388,4.677,48.156,10.016,297.339
2141,30/03/2016 4:00,0.00004,0.01187,0.01202,0.111,0.02648,3.684,MS,3.404,7.793,MS,8.391,324.691,0.00078,0.00042,0.01232,0.0132,0.19,0.02257,2.771,MS,MS,7.518,278.962,0.283,10.265,10.837,0.177,26.706,8.274,4.168,49.086,10.834,297.231
2142,30/03/2016 5:00,0.00004,0.01509,0.01534,0.117,0.02197,7.385,MS,3.335,7.453,MS,6.302,325.485,0.00083,0.00022,0.01218,0.01285,0.19,0.02098,3.668,MS,MS,6.88,279.109,0.526,14.748,15.614,0.171,20.159,7.231,3.71,51.575,8.896,300.961
2143,30/03/2016 6:00,0.00021,0.01762,0.01805,0.142,0.01888,6.927,MS,3.368,7.533,MS,6.926,327.659,0.00104,0.00179,0.02208,0.02448,0.239,0.01186,6.84,MS,MS,4.9,283.25,0.807,17.782,18.869,0.183,17.272,9.031,3.954,53.345,8.793,299.259
2144,30/03/2016 7:00,0.00124,0.02205,0.02354,0.176,0.01511,4.824,MS,3.547,7.995,MS,8.49,317.793,0.00148,0.00509,0.02881,0.03453,0.28,0.00678,6.903,MS,MS,6.163,286.95,1.57,17.07,18.942,0.199,18.65,9.702,4.345,53.35,10.957,301.328
2145,30/03/2016 8:00,0.00387,0.02105,0.02518,0.178,0.01696,2.903,MS,4.489,8.764,MS,8.129,317.523,0.00151,0.00511,0.01945,0.02535,0.245,0.01354,5.082,MS,MS,9.623,274.387,3.243,17.306,20.859,0.214,18.173,8.769,5.564,53.894,12.21,297.089
2146,30/03/2016 9:00,0.00273,0.01413,0.01702,0.143,0.02315,8.073,MS,3.418,9.262,MS,12.909,315.897,0.00183,0.00499,0.01755,0.02333,0.221,0.01634,4.603,MS,MS,8.833,285.142,3.549,16.3,20.171,0.215,18.971,9.111,8.733,53.664,9.254,297.025
2147,30/03/2016 10:00,0.00257,0.01258,0.0153,0.143,0.02484,18.292,MS,2.988,10.236,MS,12.23,321.707,0.00143,0.00546,0.01868,0.0249,0.221,0.01684,4.235,MS,MS,9.514,309.745,2.694,11.867,14.941,0.209,24.008,8.034,3.062,50.484,9.488,303.402
2148,30/03/2016 11:00,0.00054,0.00355,0.00421,0.095,0.03503,4.103,MS,2.154,11.314,MS,26.208,334.789,0.00078,0.00367,0.00911,0.0133,0.163,0.02723,6.827,MS,MS,21.721,322.099,0.79,3.232,4.281,0.144,35.772,6.622,2.587,47.864,21.163,333.243
2149,30/03/2016 12:00,0.00076,0.0033,0.0042,0.099,0.03517,6.807,MS,1.979,11.626,MS,24.183,327.89,0.00058,0.00123,0.005,0.00677,0.157,0.03038,2.942,MS,MS,20.263,318.589,0.771,2.455,3.476,0.147,36.46,3.677,2.109,48.219,17.992,327.909
2150,30/03/2016 13:00,0.00068,0.00264,0.00344,0.092,0.03585,6.531,MS,1.867,12.675,MS,30.174,336.791,0.0006,0.00157,0.00534,0.00738,0.148,0.03034,3.839,MS,MS,22.621,309.614,0.57,1.561,2.373,0.138,37.326,5.347,2.231,43.946,22.599,341.558
2151,30/03/2016 14:00,0.00081,0.00343,0.00434,0.097,0.03558,4.918,MS,2.011,12.259,MS,33.218,343.943,0.00054,0.00118,0.00455,0.0063,0.146,0.03083,4.27,MS,MS,26.351,316.094,0.541,1.789,2.582,0.15,36.751,5.679,2.379,47.574,22.287,346.889
2152,30/03/2016 15:00,0.00115,0.00443,0.00568,0.113,0.03409,2.095,MS,1.458,10.683,MS,31.295,346.968,0.00062,0.00138,0.00502,0.00688,0.164,0.03028,2.164,MS,MS,23.183,310.739,0.653,1.931,2.853,0.138,36.442,3.382,1.68,59.488,20.538,353.963
2153,30/03/2016 16:00,0.00064,0.00304,0.00378,0.102,0.03521,-2.498,MS,0.962,11.065,MS,28.111,339.754,0.00061,0.00078,0.00361,0.00492,0.155,0.03152,1.49,MS,MS,25.7,327.555,0.662,1.986,2.887,0.155,36.14,4.105,1.697,58.041,19.771,337.62
2154,30/03/2016 17:00,0.00056,0.00415,0.00483,0.115,0.03342,-3.297,MS,1.004,9.929,MS,23.645,355.399,0.00078,0.00097,0.00488,0.00617,0.158,0.02946,1.433,MS,MS,6.289,322.537,0.605,2.009,2.85,0.142,35.769,4.562,1.706,61.372,18.619,347.558
2155,30/03/2016 18:00,0.00061,0.00544,0.00613,0.126,0.02984,0.776,MS,0.904,8.329,MS,20.102,6.059,0.00076,0.00113,0.00586,0.00748,0.169,0.02733,1.512,MS,MS,11.476,176.761,0.669,2.717,3.613,0.149,33.123,6.416,1.594,80.728,13.14,11.776
2156,30/03/2016 19:00,0.00029,0.00615,0.00652,0.121,0.02759,1.699,MS,0.85,8.082,MS,16.761,4.421,0.00085,0.00027,0.00601,0.00692,0.171,0.02668,1.377,MS,MS,9.7,159.102,0.672,3.327,4.207,0.154,31.272,6.274,1.498,80.896,11.473,6.191
2157,30/03/2016 20:00,0.0001,0.0065,0.00665,0.13,0.02678,0.477,MS,1.108,7.228,MS,14.273,0.958,0.00084,0.00018,0.00691,0.00767,0.176,0.0247,1.492,MS,MS,7.051,146.414,0.534,3.842,4.553,0.142,29.748,7.463,1.67,86.297,8.756,13.018
2158,30/03/2016 21:00,0.00011,0.00978,0.00998,0.148,0.02247,2.258,MS,1.011,6.384,MS,11.201,346.252,0.00103,0.00015,0.00695,0.00758,0.18,0.024,1.381,MS,MS,9.1,123.771,0.54,3.797,4.531,0.141,29.584,6.964,1.293,88.785,9.02,3.903
2159,30/03/2016 22:00,0.00007,0.00896,0.00907,0.14,0.0217,4.765,MS,1.032,6.078,MS,8.919,330.159,0.00066,0.00022,0.01138,0.01216,0.187,0.01938,1.657,MS,MS,3.348,243.029,0.416,4.121,4.706,0.149,27.654,5.136,1.263,91.21,6.007,349.976
2160,30/03/2016 23:00,0.00003,0.00601,0.00605,0.121,0.02415,4.852,MS,0.943,6.252,MS,6.019,336.053,0.00088,0.00033,0.01143,0.0122,0.186,0.01755,1.748,MS,MS,5.344,333.364,0.409,4.965,5.555,0.158,25.812,5.868,1.374,86.562,8.249,323.704
2161,31/03/2016 0:00,0.00006,0.00776,0.00787,0.124,0.02106,2.996,MS,1.2,6.451,MS,7.709,25.408,0.00076,0.00002,0.0097,0.01015,0.181,0.01684,2.335,MS,MS,4.498,47.889,0.273,2.173,2.655,0.133,31.623,5.207,0.93,69.812,16.358,336.435
2162,31/03/2016 1:00,0.00004,0.00502,0.00511,0.106,0.02421,1.041,MS,1.019,5.95,MS,14.286,354.363,0.00085,0.0004,0.01076,0.01166,0.169,0.01749,1.467,MS,MS,8.705,282.314,0.301,2.172,2.68,0.129,31.282,3.162,0.926,69.602,12.988,349.692
2163,31/03/2016 2:00,0.00002,0.00289,0.00296,0.1,0.02842,1.353,MS,0.748,4.68,MS,20.118,0.669,Z,Z,Z,Z,Z,Z,0.806,MS,MS,9.849,237.823,0.292,1.918,2.397,0.146,30.178,3.762,1.031,89.248,14.019,4.789
2164,31/03/2016 3:00,0.00003,0.00312,0.00319,0.105,0.03068,4.749,MS,1.043,3.45,MS,16.287,340.381,0.00072,0.00015,0.00667,0.00738,0.165,0.0256,0.914,MS,MS,15.426,309.576,0.318,1.826,2.342,0.154,33.727,4.836,0.066,95.92,12.116,338.536
2165,31/03/2016 4:00,0.00002,0.0027,0.00276,0.1,0.0314,2.942,MS,0.506,3.192,MS,12.474,336.101,0.00069,0.00003,0.00626,0.0069,0.166,0.02694,0.775,MS,MS,14.333,322.089,0.316,3.178,3.651,0.133,32.786,4.89,-0.098,96.041,8.872,312.405
2166,31/03/2016 5:00,0.00003,0.00405,0.00414,0.106,0.03245,1.765,MS,0.356,3.184,MS,11.484,335.227,0.00065,0.0002,0.00811,0.00872,0.176,0.0266,0.698,MS,MS,12.874,327.209,0.351,4.003,4.522,0.136,29.697,4.695,0.116,97.499,7.937,320.932
2167,31/03/2016 6:00,0.00006,0.00568,0.00575,0.122,0.03003,2.117,MS,0.787,3.084,MS,11.5,334.9,0.00057,0.00063,0.01278,0.01398,0.188,0.02228,0.828,MS,MS,11.352,326.221,0.45,5.15,5.773,0.144,30.016,3.559,0.415,97.948,8.415,320.99
2168,31/03/2016 7:00,0.00045,0.00903,0.00954,0.14,0.02758,4.452,MS,2.313,2.84,MS,10.965,339.981,0.00068,0.00255,0.01898,0.02208,0.215,0.01702,1.228,MS,MS,9.527,320.47,1.222,10.565,12.005,0.172,26.857,4.07,1.069,98.305,6.635,317.747
2169,31/03/2016 8:00,0.00117,0.01248,0.01375,0.183,0.02316,3.554,MS,4.574,3.119,MS,11.223,343.297,0.00086,0.0123,0.02394,0.03699,0.245,0.01304,2.494,MS,MS,7.622,310.38,1.49,10.149,11.873,0.198,24.893,3.206,1.177,97.004,6.617,308.166
2170,31/03/2016 9:00,0.00159,0.01123,0.0129,0.164,0.02305,3.59,MS,13.589,3.017,MS,10.942,18.656,0.0006,0.00622,0.01712,0.02393,0.216,0.01524,4.347,MS,MS,5.38,51.415,1.158,7.065,8.415,0.182,26.181,3.851,9.66,94.834,5.918,15.058
2171,31/03/2016 10:00,0.00176,0.00927,0.01111,0.144,0.02661,7.843,MS,10.374,3.152,MS,11.006,15.396,0.00066,0.00409,0.01323,0.01791,0.206,0.0203,4.673,MS,MS,2.637,128.029,1.115,5.413,6.713,0.18,27.99,9.767,12.584,93.739,5.373,356.379
2172,31/03/2016 11:00,0.00175,0.00712,0.00892,0.135,0.0269,10.635,MS,9.427,3.567,MS,10.322,353.271,0.0005,0.00435,0.01185,0.01676,0.219,0.02163,5.207,MS,MS,0.604,67.972,1.508,4.491,6.16,0.165,28.755,9.215,10.309,91.23,6.17,357.653
2173,31/03/2016 12:00,0.00335,0.00735,0.01073,0.149,0.02738,10.141,MS,8.009,4.727,MS,9.276,3.704,0.00061,0.00354,0.00851,0.01258,0.204,0.02475,3.719,MS,MS,5.886,309.635,1.358,3.263,4.796,0.222,31.74,11.468,7.546,82.144,7.869,0.908
2174,31/03/2016 13:00,0.00238,0.00483,0.00722,0.133,0.03251,12.287,MS,4.398,6.534,MS,14.451,9.065,0.0007,0.0042,0.00793,0.01265,0.2,0.02789,2.897,MS,MS,3.079,239.02,0.954,1.962,3.123,0.185,36.133,6.785,2.781,70.893,8.824,14.063
2175,31/03/2016 14:00,0.00154,0.00338,0.00499,0.121,0.0376,9.499,MS,2.243,7.611,MS,17.22,16.048,0.00067,0.00197,0.00512,0.00763,0.179,0.03299,1.4,MS,MS,1.569,276.026,0.722,1.585,2.517,0.18,39.614,5.183,1.59,61.914,9.617,14.021
2176,31/03/2016 15:00,0.00116,0.00298,0.00421,0.117,0.04033,5.753,MS,1.705,9.005,MS,17.491,9.692,0.00052,0.00148,0.00446,0.00623,0.17,0.03569,1.245,MS,MS,1.876,218.703,0.736,1.805,2.746,0.188,40.962,5.723,1.42,57.543,9.444,357.909
2177,31/03/2016 16:00,0.00081,0.00292,0.00379,0.114,0.04123,3.607,MS,1.135,9.944,MS,7.713,1.707,0.00052,0.0015,0.00498,0.00693,0.172,0.03595,1.022,MS,MS,3.358,287.494,0.589,1.533,2.324,0.171,41.993,5.002,1.067,49.524,6.501,335.407
2178,31/03/2016 17:00,0.00062,0.00286,0.00356,0.114,0.04135,2.265,MS,0.838,10.663,MS,8.471,23.141,0.00042,0.00112,0.00408,0.00538,0.182,0.0366,0.931,MS,MS,6.124,43,0.462,1.586,2.265,0.185,41.91,4.568,0.983,46.635,5.022,20.505
2179,31/03/2016 18:00,0.00045,0.00305,0.00359,0.114,0.04123,3.771,MS,1.43,10.728,MS,4.763,54.463,0.00032,0.00045,0.0034,0.00427,0.154,0.03685,0.85,MS,MS,6.126,79.069,0.417,1.996,2.678,0.167,41.439,5.032,1.174,46.22,3.285,62.661
2180,31/03/2016 19:00,0.00018,0.00367,0.00393,0.111,0.04051,4.333,MS,1.164,9.52,MS,7.95,105.451,0.00033,0.00002,0.00358,0.00383,0.149,0.03572,0.843,MS,MS,5.414,99.792,0.404,5.318,5.943,0.176,38.204,6.876,1.558,50.456,4.129,95.446
2181,31/03/2016 20:00,0.00014,0.01479,0.01506,0.161,0.02856,2.128,MS,2.596,8.153,MS,5.091,172.48,0.00021,0,0.00736,0.00748,0.186,0.02763,1.442,MS,MS,9.527,159.823,1.876,18.415,20.551,0.208,24.886,7.488,2.446,58.919,5.668,159.364
2182,31/03/2016 21:00,0.00011,0.01936,0.01959,0.202,0.02179,3.466,MS,3.695,6.812,MS,6.349,185.769,0.00015,0,0.00908,0.00912,0.209,0.02675,3.127,MS,MS,9.226,182.646,0.421,13.425,14.041,0.213,27.829,7.798,3.215,63.588,7.255,178.271
2183,31/03/2016 22:00,0.00018,0.015,0.01527,0.164,0.02289,6.86,MS,4.188,5.617,MS,6.153,189.693,0.00007,0,0.00565,0.00578,0.175,0.02686,4.101,MS,MS,8.663,194.576,0.554,7.486,8.263,0.182,30.009,7.813,3.631,72.192,5.747,169.165
2184,31/03/2016 23:00,0.00071,0.02037,0.02124,0.161,0.01491,4.651,MS,5.822,4.461,MS,4.789,195.913,0.00003,0,0.0048,0.0048,0.161,0.02401,4.534,MS,MS,6.188,201.24,0.263,4.677,5.151,0.171,29.202,11.234,4.429,76.432,5.553,190.192
2185,01/04/2016 0:00,0.00055,0.02474,0.02549,0.216,0.00755,3.299,MS,7.681,3.702,MS,3.272,125.779,-0.00004,0,0.00586,0.00603,0.166,0.0192,4.266,MS,MS,3.891,184.743,0.239,4.911,5.35,0.183,25.777,10.13,3.922,78.326,3.57,252.662
2186,01/04/2016 1:00,0.0043,0.0278,0.03232,0.192,0.0034,8.959,MS,8.184,4.52,MS,4.425,245.746,-0.00002,0.00052,0.01121,0.01186,0.189,0.01259,4.103,MS,MS,2.798,253.265,1.363,13.737,15.344,0.199,15.335,10.578,3.829,81.883,5.852,307.186
2187,01/04/2016 2:00,0.00053,0.01938,0.02008,0.151,0.00976,7.705,MS,5.19,5.403,MS,4.849,267.461,Z,Z,Z,Z,Z,Z,2.628,MS,MS,9.59,264.572,0.501,8.271,8.985,0.199,18.404,8.665,3.107,79.706,9.336,310.723
2188,01/04/2016 3:00,0.00008,0.01073,0.0109,0.127,0.01935,5.465,MS,2.059,7.047,MS,6.726,339.652,0.00041,0.0004,0.00772,0.00857,0.168,0.0171,1.831,MS,MS,10.055,274.469,0.443,8.921,9.592,0.208,18.056,8.653,1.635,72.839,10.287,302.287
2189,01/04/2016 4:00,0.00008,0.00847,0.0086,0.104,0.02393,0.852,MS,1.239,8.441,MS,10.745,332.449,0.00029,0.00037,0.00953,0.0102,0.166,0.01446,2.052,MS,MS,7.43,278.245,0.443,8.522,9.169,0.181,20.923,5.992,1.2,64.29,11.202,297.817
2190,01/04/2016 5:00,0.00009,0.01038,0.01051,0.102,0.02439,-1.466,MS,1.165,8.484,MS,9.61,342.771,0.00047,0.00083,0.01341,0.01453,0.176,0.01227,2.319,MS,MS,6.305,281.424,0.434,7.513,8.132,0.168,23.153,6.858,1.492,62.988,10.751,296.878
2191,01/04/2016 6:00,0.00038,0.01234,0.01278,0.131,0.02292,3.252,MS,1.272,8.626,MS,10.472,320.183,0.00067,0.00113,0.0175,0.01895,0.196,0.01346,2.706,MS,MS,7.607,300.435,0.718,10.205,11.142,0.191,21.967,6.461,1.209,62.927,8.815,297.167
2192,01/04/2016 7:00,0.01002,0.03074,0.04108,0.219,0.00689,4.55,MS,2.807,7.262,MS,5.282,299.124,0.00071,0.00918,0.02836,0.03813,0.285,0.00487,3.959,MS,MS,7.214,276.375,2.37,16.621,19.236,0.22,16.926,5.437,1.237,63.999,10.647,297.037
2193,01/04/2016 8:00,0.01507,0.02586,0.04124,0.249,0.01113,4.004,MS,3.434,9.304,MS,3.826,338.221,0.00149,0.01757,0.02635,0.04451,0.318,0.0076,4.701,MS,MS,5.973,273.279,4.634,13.504,18.504,0.229,20.329,5.877,1.86,58.841,9.882,300.147
2194,01/04/2016 9:00,0.00767,0.01385,0.02165,0.184,0.0232,7.347,MS,2.411,10.96,MS,8.664,326.046,0.00147,0.01393,0.01967,0.03418,0.267,0.01337,3.764,MS,MS,6.028,273.343,4.645,9.249,14.248,0.186,25.229,5.692,1.911,49.351,9.352,298.612
2195,01/04/2016 10:00,0.00379,0.00745,0.01126,0.131,0.03096,6.571,MS,1.666,13.744,MS,11.183,313.166,0.00092,0.00986,0.01571,0.02608,0.25,0.01962,2.548,MS,MS,7.221,299.38,2.947,5.786,8.971,0.184,30.96,4.322,1.671,40.498,10.918,290.567
2196,01/04/2016 11:00,0.00138,0.00338,0.00483,0.095,0.03727,3.229,MS,1.659,14.97,MS,14.667,350.233,0.00077,0.00274,0.00685,0.0101,0.158,0.0311,1.273,MS,MS,11.324,314.078,1.342,2.881,4.489,0.174,36.987,4.032,1.654,34.449,9.279,321.554
2197,01/04/2016 12:00,0.00056,0.00171,0.00234,0.083,0.04053,1.67,MS,1.973,16.049,MS,16.662,345.148,0.00051,0.0014,0.00411,0.00573,0.145,0.03522,1.075,MS,MS,9.62,301.707,0.573,1.155,1.976,0.173,41.166,4.715,1.753,30.559,10.811,332.502
2198,01/04/2016 13:00,0.00073,0.00218,0.00299,0.083,0.04296,6.676,MS,1.819,16.913,MS,16.228,352.311,0.00029,0.00128,0.00428,0.00593,0.14,0.03816,1.6,MS,MS,3.686,299.825,0.378,0.847,1.5,0.166,43.533,4.435,1.806,27.57,11.018,356.812
2199,01/04/2016 14:00,0.00071,0.00212,0.00293,0.082,0.04361,5.422,MS,1.751,17.698,MS,15.621,353.49,0.00026,0.00127,0.00374,0.00533,0.141,0.0391,1.348,MS,MS,1.642,44.222,0.365,0.871,1.479,0.145,44.51,4.896,2,25.575,8.797,3.714
2200,01/04/2016 15:00,0.0004,0.00144,0.00193,0.076,0.04536,3.528,MS,1.68,18.837,MS,6.457,346.076,0.00022,0.00098,0.00386,0.00517,0.145,0.04018,1.437,MS,MS,1.693,115.895,0.388,0.956,1.581,0.132,45.867,5.46,2.037,23.985,2.44,351.506
2201,01/04/2016 16:00,0.00054,0.00204,0.00269,0.083,0.04658,4.74,MS,1.862,19.343,MS,1.765,22.984,0.00052,0.00048,0.00277,0.00357,0.142,0.0431,1.271,MS,MS,1.355,48.864,0.322,0.979,1.555,0.125,48.16,1.799,2.039,22.317,4.423,270.143
2202,01/04/2016 17:00,0.00118,0.00359,0.0049,0.093,0.04635,5.34,MS,1.965,19.56,MS,3.638,55.322,0.00021,0.00025,0.00284,0.00372,0.152,0.04306,1.406,MS,MS,6.249,69.797,0.26,0.785,1.3,0.109,49.403,7.014,2.024,21.057,5.502,279.736
2203,01/04/2016 18:00,0.00045,0.00285,0.00344,0.09,0.04732,5.928,MS,2.203,19.044,MS,8.054,123.635,0.00037,0.00033,0.00376,0.00447,0.14,0.04232,1.354,MS,MS,9.087,110.754,0.292,1.334,1.886,0.113,47.757,3.754,2.014,19.889,2.295,310.096
2204,01/04/2016 19:00,0.00028,0.00421,0.00461,0.101,0.04405,4.606,MS,2.727,16.866,MS,13.078,100.804,0.00041,0.00003,0.00478,0.00502,0.151,0.03788,1.223,MS,MS,9.938,104.066,0.296,3.664,4.228,0.152,44.629,9.358,3.105,27.849,7.154,103.145
2205,01/04/2016 20:00,0.00012,0.00765,0.0079,0.14,0.03705,2.058,MS,4.591,13.956,MS,8.22,105.968,0.00036,0,0.00755,0.00772,0.153,0.02978,2.411,MS,MS,9.403,108.708,0.263,7.032,7.587,0.175,39.34,8.223,4.274,34.997,5.169,110.707
2206,01/04/2016 21:00,0.00024,0.00928,0.00962,0.145,0.03393,-1.56,MS,7.049,12.131,MS,4.096,128.53,0.00027,0,0.00857,0.00865,0.168,0.02617,3.913,MS,MS,5.548,127.014,0.977,13.243,14.54,0.249,31.802,10.154,4.868,41.639,3.563,130.181
2207,01/04/2016 22:00,0.00013,0.01311,0.01339,0.199,0.0268,1.173,MS,8.393,9.719,MS,2.904,80.183,0.00047,0.00007,0.01267,0.01286,0.183,0.02209,7.829,MS,MS,4.893,69.359,0.51,21.322,22.143,0.268,23.714,11.031,6.479,44.592,3.873,138.165
2208,01/04/2016 23:00,0.00015,0.01718,0.01751,0.218,0.02257,7.505,MS,7.202,8.752,MS,1.495,101.382,0.00034,0,0.00587,0.00597,0.146,0.02786,3.489,MS,MS,7.608,111.892,0.891,25.618,26.88,0.269,17.539,13.136,6.73,48.186,0.289,59.998
2209,02/04/2016 0:00,0.00118,0.01904,0.02042,0.208,0.01912,6.968,MS,4.791,7.41,MS,2.224,113.613,0.00076,0,0.00935,0.00938,0.2,0.02297,4.584,MS,MS,4.337,208.158,0.475,21.185,21.972,0.234,20.153,11.968,5.283,51.385,0.61,186.135
2210,02/04/2016 1:00,0.00556,0.03507,0.04096,0.356,0.0026,7.232,MS,8.384,5.432,MS,2.611,166.904,0.00096,0.00008,0.01329,0.01355,0.228,0.01625,5.148,MS,MS,3.597,231.803,1.062,23.165,24.601,0.264,14.613,13.092,6.448,59.358,5.345,309.894
2211,02/04/2016 2:00,0.0068,0.03273,0.03987,0.295,0.00153,10.704,MS,10.408,3.922,MS,1.566,183.753,Z,Z,Z,Z,Z,Z,4.904,MS,MS,5.613,271.99,1.504,22.476,24.353,0.243,13.33,13.801,6.278,64.194,6.61,310.687
