966,10/02/2019 5:00,0.0014,0.0174,0.01879,0.194,0.0148,MS,MS,9.898,-28.756,73.235,10.628,164.67,0.00059,0.00035,0.00804,0.00839,0.155,0.02146,10.129,-29.404,73.683,9.453,143.67,0.321,15.086,15.393,0.163,18.845,MS,6.117,74.045,9.825,149.87
967,10/02/2019 6:00,0.00158,0.01667,0.01824,0.186,0.0153,MS,MS,8.954,-28.682,73.284,11.643,160.122,0.00044,0.0004,0.00711,0.00751,0.155,0.02235,10.651,-29.17,74.058,12.796,142.458,0.382,15.713,16.081,0.166,18.334,MS,6.388,73.997,9.277,148.038
968,10/02/2019 7:00,0.00129,0.0155,0.01679,0.176,0.01628,MS,MS,8.884,-28.637,73.306,12.174,161.599,0.00039,0.00049,0.00825,0.00874,0.16,0.02105,11.061,-29.358,73.718,10.981,142.503,0.319,15.125,15.431,0.171,18.945,MS,7.891,73.954,10.406,143.31
969,10/02/2019 8:00,0.00228,0.01848,0.02075,0.188,0.01364,MS,MS,9.295,-28.739,73.132,8.931,157.024,0.00042,0.00067,0.01002,0.01068,0.164,0.01939,11.343,-29.503,73.371,6.635,131.741,0.469,16.703,17.16,0.18,17.198,MS,9.126,73.864,8.584,144.658
970,10/02/2019 9:00,0.00889,0.02089,0.02978,0.232,0.01278,MS,MS,7.225,-28.923,72.884,7.135,144.969,0.00044,0.00422,0.01519,0.01942,0.183,0.01642,11.021,-28.977,74.07,4.977,122.324,3.448,15.545,18.981,0.193,18.6,MS,7.235,73.707,7.057,149.897
971,10/02/2019 10:00,0.0082,0.01091,0.0191,0.18,0.02169,MS,MS,7.677,-28.033,74.038,9.768,158.343,0.0003,0.00306,0.00633,0.0094,0.171,0.0239,8.986,-27.874,75.718,7.676,141.004,7.163,10.525,17.684,0.193,23.908,MS,3.42,73.715,8.59,152.184
972,10/02/2019 11:00,0.00922,0.00857,0.01779,0.184,0.02439,MS,MS,9.416,-27.136,75.282,10.053,167.391,0.00051,0.003,0.00458,0.00759,0.172,0.02623,8.506,-26.707,77.738,10.637,145.737,6.988,7.513,14.484,0.196,27.263,MS,4.626,74.11,9.03,144.599
973,10/02/2019 12:00,0.00884,0.0068,0.01563,0.179,0.02592,MS,MS,9.259,-26.158,76.674,9.777,158.148,0.0006,0.00265,0.00373,0.00638,0.161,0.02712,7.564,-25.655,79.49,10.885,136.933,6.462,6.151,12.604,0.194,29.427,MS,7.673,74.515,9.959,161.174
974,10/02/2019 13:00,0.00799,0.00586,0.01384,0.18,0.02649,MS,MS,9.996,-25.492,77.347,9.244,149.717,0.00091,0.0026,0.00357,0.00617,0.156,0.02747,7.345,-24.796,78.925,10.969,144.079,5.993,5.649,11.632,0.189,30.808,MS,9.562,74.615,9.816,152.265
975,10/02/2019 14:00,0.00699,0.00558,0.01256,0.18,0.02694,MS,MS,11.02,-25.042,76.27,10.05,137.629,0.00097,0.0023,0.00344,0.00574,0.154,0.0283,7.28,-23.818,66.138,10.172,143.879,5.908,5.697,11.594,0.194,30.718,MS,9.982,72.284,8.556,144.782
976,10/02/2019 15:00,0.00548,0.0053,0.01077,0.176,0.02737,MS,MS,11.096,-24.487,72.91,9.663,130.996,0.00118,0.00218,0.00377,0.00595,0.15,0.02855,6.757,-23.322,59.807,10.462,126.99,6.079,6.5,12.568,0.191,29.949,MS,11.371,63.367,9.143,144.45
977,10/02/2019 16:00,0.00386,0.00596,0.00981,0.182,0.02729,MS,MS,10.905,-24.256,70.658,7.995,130.528,0.00116,0.00192,0.0045,0.00643,0.151,0.02849,6.628,-23.536,62.033,9.103,113.338,5.026,8.032,13.049,0.189,27.57,MS,12.68,62.664,7.81,146.627
978,10/02/2019 17:00,0.00247,0.00729,0.00975,0.175,0.02666,MS,MS,10.777,-24.144,69.685,8.175,124.971,0.00097,0.00097,0.00411,0.00508,0.147,0.02892,6.008,-23.758,60.394,8.661,119.48,3.329,10.144,13.461,0.198,25.516,MS,11.018,64.238,5.846,145.725
979,10/02/2019 18:00,0.00109,0.00841,0.00949,0.174,0.02574,MS,MS,9.758,-24.098,67.749,7.529,133.888,0.00102,0.00041,0.00476,0.00517,0.146,0.0288,6.091,-23.899,60.576,8.06,119.049,3.427,15.168,18.591,0.262,21.388,MS,11.375,67.911,5.984,117.713
980,10/02/2019 19:00,0.00065,0.00851,0.00916,0.177,0.02583,MS,MS,9.431,-23.999,66.364,6.346,135.416,0.00128,0.00009,0.00466,0.00475,0.145,0.02837,6.406,-23.755,63.847,6.06,119.409,0.218,12.861,13.071,0.188,22.738,MS,8.412,65.188,4.726,165.175
981,10/02/2019 20:00,0.0007,0.01086,0.01156,0.174,0.02251,MS,MS,9.583,-23.916,72.216,6.851,135.722,0.00131,0.00012,0.00518,0.0053,0.152,0.02626,7.26,-23.754,72.088,7.31,132.993,0.281,13.891,14.165,0.191,21.714,MS,7.851,65.3,5.504,159.051
982,10/02/2019 21:00,0.00057,0.01338,0.01394,0.176,0.01929,MS,MS,10.568,-23.744,76.802,4.597,152.4,0.00108,0.00006,0.00578,0.00584,0.156,0.0257,7.373,-23.657,77.518,3.169,137.821,0.321,12.863,13.181,0.188,22.31,MS,5.293,69.985,4.654,183.771
983,10/02/2019 22:00,0.00051,0.01279,0.0133,0.183,0.0196,MS,MS,9.684,-23.798,78.391,5.498,127.507,0.00098,0.00006,0.00614,0.00619,0.156,0.02491,7.423,-23.586,79.855,4.561,124.137,0.243,12.244,12.483,0.187,22.273,MS,7.175,72.623,2.942,252.286
984,10/02/2019 23:00,0.00054,0.01521,0.01576,0.191,0.01835,MS,MS,9.928,-23.504,78.812,3.481,156.05,0.00105,0.00008,0.00638,0.00646,0.153,0.02404,7.41,-23.499,80.213,3.931,122.3,0.198,12.266,12.462,0.188,21.737,MS,9.143,73.638,2.488,215.777
985,11/02/2019 0:00,0.00173,0.02132,0.02306,0.218,0.01264,MS,MS,11.185,-24.188,78.542,5.341,138.425,0.00075,0.00029,0.01034,0.01063,0.162,0.01947,8.059,-24.87,80.015,6.063,127.075,0.134,13.311,13.443,0.183,20.245,MS,10.406,74.081,1.537,278.428
986,11/02/2019 1:00,0.00204,0.02768,0.02972,0.222,0.00772,MS,MS,13.04,-24.066,79.555,4.725,164.352,0.00068,0.00074,0.01747,0.01821,0.179,0.01383,8.499,-23.915,80.294,8.701,302.626,0.636,15.975,16.61,0.217,18.094,MS,8.383,74.802,3.984,317.116
987,11/02/2019 2:00,0.00026,0.01489,0.01515,0.192,0.01757,MS,MS,11.63,-23.781,78.646,4.595,187.622,Z,Z,Z,Z,Z,Z,8.489,-24.016,78.789,4.825,217.517,0.266,12.074,12.339,0.17,21.105,MS,5.344,74.337,4.52,303.292
988,11/02/2019 3:00,0.00023,0.01237,0.01259,0.18,0.01904,MS,MS,10.779,-23.451,77.476,3.254,188.354,0.00077,0.00164,0.02022,0.02186,0.18,0.0131,9.524,-23.823,77.709,3.165,220.863,Z,Z,Z,0.161,22.372,MS,6.076,73.845,6.26,290.081
989,11/02/2019 4:00,0.00041,0.02124,0.02164,0.195,0.0117,MS,MS,12.555,-23.434,79.657,0.594,79.412,0.00067,0.00089,0.01855,0.01945,0.188,0.0141,9.608,-23.523,80.283,0.965,19.829,1.159,12.345,13.505,Z,Z,MS,9.475,73.77,7.302,335.09
990,11/02/2019 5:00,0.00036,0.01509,0.01544,0.22,0.01622,MS,MS,12.218,-23.23,78.656,9.816,336.406,0.00062,0.00175,0.02016,0.0219,0.207,0.01283,9.967,-23.112,80.788,4.904,310.266,1.776,13.878,15.655,0.188,18.924,MS,11.566,72.896,7.969,340.007
991,11/02/2019 6:00,0.00072,0.01613,0.01685,0.228,0.01486,MS,MS,12.251,-23.513,78.618,9.782,335.444,0.00106,0.00384,0.0225,0.02633,0.249,0.01083,12.133,-23.224,76.86,10.952,343.465,1.74,13.562,15.303,0.187,18.417,MS,10.071,72.444,7.616,328.953
992,11/02/2019 7:00,0.0005,0.01422,0.01472,0.232,0.01602,MS,MS,12.14,-23.665,78.404,11.175,336.015,0.00093,0.00774,0.02638,0.03412,0.246,0.00721,12.504,-23.4,76.923,10.17,341.099,2.201,15.252,17.456,0.208,16.299,MS,9.171,72.487,7.011,329.718
993,11/02/2019 8:00,0.00108,0.01681,0.01789,0.257,0.01276,MS,MS,12.79,-23.504,78.657,8.761,331.858,0.00089,0.01438,0.03207,0.04646,0.272,0.00348,12.808,-23.49,75.216,10.04,342.774,6.446,17.488,23.936,0.232,14.594,MS,11.737,71.222,9.612,331.677
994,11/02/2019 9:00,0.00349,0.01312,0.01661,0.266,0.01567,MS,MS,14.39,-23.28,77.082,10.115,330.358,0.00087,0.01813,0.0272,0.04533,0.295,0.00752,15.055,-23.132,71.999,3.626,26.348,3.895,13.976,17.874,0.253,17.225,MS,12.034,70.373,9.516,319.99
995,11/02/2019 10:00,0.00719,0.01104,0.01823,0.272,0.01869,MS,MS,15.925,-22.131,76.934,6.866,318.447,0.00098,0.02704,0.02496,0.052,0.397,0.01061,19.199,-22.227,74.513,2.031,271.071,5.002,9.277,14.282,0.24,22.292,MS,18.021,67.669,9.537,316.033
996,11/02/2019 11:00,0.0067,0.00675,0.01345,0.248,0.02347,MS,MS,15.6,-21.792,72.415,14.008,332.212,0.00132,0.01915,0.01756,0.03671,0.293,0.01813,17.656,-21.187,68.414,10.898,342.155,6.521,7.261,13.787,0.234,24.697,MS,18.365,63.667,7.482,293.701
997,11/02/2019 12:00,0.008,0.00636,0.01435,0.25,0.02489,MS,MS,15.371,-21.22,67.774,15.216,340.332,0.00128,0.01603,0.01309,0.02912,0.255,0.02217,14.889,-20.567,56.791,14.788,350.475,6.01,5.742,11.757,0.216,28.237,MS,16.383,57.134,12.917,336.305
998,11/02/2019 13:00,0.0094,0.00678,0.01619,0.252,0.02553,MS,MS,13.967,-21.077,65.862,14.092,353.92,0.00119,0.01657,0.01301,0.02955,0.247,0.02328,13.73,-20.028,55.7,13.573,0.224,5.354,5.118,10.478,0.217,29.664,MS,14.681,56.795,12.888,342.879
999,11/02/2019 14:00,0.0105,0.0075,0.01799,0.26,0.02591,MS,MS,12.986,-20.838,66.464,12.013,1.939,0.00107,0.01503,0.01263,0.02766,0.252,0.02409,12.92,-19.884,57.559,13.985,3.41,5.488,5.173,10.667,0.23,29.918,MS,15.283,56.658,7.926,1.229
1000,11/02/2019 15:00,0.01142,0.00895,0.02036,0.281,0.02555,MS,MS,13.561,-20.166,64.367,7.981,3.605,0.00127,0.01786,0.01599,0.03385,0.294,0.02293,12.811,-18.71,54.821,7.178,19.136,5.629,5.853,11.489,0.239,30.103,MS,15.425,55.303,5.091,52.649
1001,11/02/2019 16:00,0.01038,0.0105,0.02088,0.297,0.02531,MS,MS,13.283,-20.111,62.465,8.368,24.349,0.00128,0.01987,0.01939,0.03926,0.303,0.01966,11.326,-18.843,55.079,9.118,52.847,6.417,7.757,14.181,0.247,28.942,MS,14.27,55.712,5.941,45.8
1002,11/02/2019 17:00,0.00915,0.01531,0.02446,0.341,0.02225,MS,MS,14.043,-19.901,61.772,3.541,22.6,0.00158,0.01676,0.02152,0.03826,0.288,0.01575,11.429,-19.742,56.779,6.458,107.253,5.508,10.811,16.327,0.28,26.414,MS,14.722,55.326,4.32,88.684
1003,11/02/2019 18:00,0.01545,0.02785,0.0433,0.414,0.01103,MS,MS,16.464,-20.691,65.066,4.177,121.608,0.00097,0.00749,0.02241,0.02988,0.302,0.01187,12.093,-22.057,64.101,7.256,132.924,6.407,22.765,29.181,0.39,15.237,MS,17.849,60.385,4.865,87.119
1004,11/02/2019 19:00,0.03272,0.04044,0.07316,0.457,0.00101,MS,MS,19.81,-21.815,72.853,4.919,163.391,0.00058,0.01059,0.03197,0.04256,0.35,0.00318,15.623,-22.929,67.988,4.425,135.45,9.61,36.906,46.525,0.509,2.631,MS,19.941,66.33,3.825,166.544
1005,11/02/2019 20:00,0.02783,0.0392,0.06703,0.456,0.00106,MS,MS,17.49,-21.89,74.421,4.08,171.146,0.00043,0.02318,0.03608,0.05926,0.485,0.00111,18.768,-22.712,70.251,5.9,291.602,8.247,35.989,44.245,0.465,3.196,MS,19.208,69.287,3.944,198.623
1006,11/02/2019 21:00,0.02517,0.03893,0.06411,0.514,0.00095,MS,MS,18.161,-22.182,79.219,8.829,306.58,0.00053,0.02621,0.03752,0.06373,0.432,0.00105,18.627,-22.568,72.491,1.433,285.871,20.784,38.571,59.358,0.509,2.425,MS,18.457,71.023,1.209,263.373
1007,11/02/2019 22:00,0.04888,0.0425,0.09138,0.514,0.00119,MS,MS,20.832,-22.141,81.823,2.7,164.123,0.00042,0.01564,0.03624,0.05187,0.359,0.00134,17.722,-23.41,72.956,1.58,70.985,41.205,42.737,84,0.666,1.919,MS,15.409,74.656,2.514,303.129
1008,11/02/2019 23:00,0.04927,0.04284,0.09212,0.539,0.00118,MS,MS,22.345,-22.902,82.954,1.329,180.734,0.00038,0.03359,0.03825,0.07184,0.458,0.00098,18.545,-23.591,74.149,1.089,191.648,44.539,42.026,86.526,0.56,2.019,MS,14.462,76.621,3.073,286.206
1009,12/02/2019 0:00,0.11421,0.04858,0.16276,0.848,0.00141,MS,MS,27.386,-23.528,84.249,1.374,151.73,0.0006,0.0639,0.0445,0.10839,0.487,0.00146,23.568,-23.855,76.754,21.379,44.281,7.356,33.319,40.684,0.314,3.5,MS,8.572,76.473,4.629,293.47
1010,12/02/2019 1:00,0.14106,0.05081,0.19188,1.04,0.00163,MS,MS,33.364,-24.041,82.275,2.603,187.59,0.00029,0.03574,0.04062,0.07636,0.412,0.00127,22.032,-24.831,81.877,4.923,245.529,11.609,33.697,45.314,0.325,2.227,MS,13.264,76.583,5.155,297.158
1011,12/02/2019 2:00,0.12048,0.05083,0.17124,0.864,0.00144,MS,MS,28.37,-24.737,80.392,2.233,209.856,Z,Z,Z,Z,Z,Z,19.745,-25.213,83.039,4.032,273.319,5.403,29.101,34.507,0.293,4.83,MS,12.582,75.943,7.17,298.501
1012,12/02/2019 3:00,0.14515,0.0524,0.19754,0.924,0.00139,MS,MS,28.882,-24.738,80.619,0.608,244.545,0.00019,0.01942,0.03768,0.05711,0.435,0.00177,17.408,-25.336,83.065,5.711,270.267,Z,Z,Z,0.277,3.211,MS,12.884,75.307,6.49,301.179
1013,12/02/2019 4:00,0.04333,0.03864,0.08199,0.478,0.00091,MS,MS,18.076,-24.491,80.073,0.618,245.079,0.00045,0.00627,0.02922,0.03549,0.307,0.00575,13.621,-25.355,80.606,7.976,274.518,3.935,27.188,31.135,Z,Z,MS,10.771,75.115,6.748,306.107
1014,12/02/2019 5:00,0.0459,0.03976,0.08565,0.434,0.00094,MS,MS,17.326,-23.486,81.596,0.327,15.854,0.00066,0.00791,0.02969,0.0376,0.305,0.00517,12.778,-24.358,79.828,4.84,282.899,3.495,26.239,29.751,0.262,6.274,MS,10.106,75.248,6.078,312.842
1015,12/02/2019 6:00,0.03918,0.03874,0.07792,0.392,0.00085,MS,MS,15.123,-22.201,83.709,1.267,209.645,0.00129,0.02289,0.0371,0.05999,0.329,0.00113,13.33,-23.261,82.009,2.966,288.694,4.738,27.825,32.57,0.287,4.663,MS,11.534,75.781,4.892,300.888
1016,12/02/2019 7:00,0.07206,0.04341,0.11548,0.449,0.00113,MS,MS,18.562,-22.022,84.088,2.188,192.471,0.00141,0.03993,0.04015,0.08009,0.431,0.00083,14.027,-22.355,85.038,2.751,82.757,9.75,30.202,39.958,0.326,2.702,MS,11.431,76.222,3.389,285.32
1017,12/02/2019 8:00,0.08981,0.04676,0.13654,0.578,0.00137,MS,MS,19.705,-21.762,84.831,3.503,192.355,0.00113,0.03456,0.03856,0.07312,0.442,0.00093,13.373,-21.976,84.822,1.923,255.375,13.962,31.72,45.686,0.415,2.265,MS,11.704,76.644,4.169,294.501
1018,12/02/2019 9:00,0.09612,0.04596,0.14209,0.705,0.0028,MS,MS,22.059,-20.706,86.625,1.992,196.074,0.0012,0.04874,0.03842,0.08716,0.466,0.00321,14.93,-21.101,83.933,1.111,94.63,25.314,29.289,54.611,0.504,6.047,MS,18.321,77.207,2.867,290.59
1019,12/02/2019 10:00,0.03876,0.03315,0.07191,0.48,0.01209,MS,MS,20.745,-20.071,85.807,3.043,183.852,0.00127,0.04391,0.03297,0.07688,0.457,0.00726,16.064,-20.616,82.488,2.821,138.171,25.358,23.341,48.705,0.467,11.714,MS,21.597,76.559,4.332,294.398
1020,12/02/2019 11:00,0.0326,0.02795,0.06054,0.44,0.0168,MS,MS,18.359,-19.826,81.425,4.382,165.902,0.00116,0.06129,0.03536,0.09665,0.503,0.00885,19.091,-20.04,81.105,3.873,124.135,37.851,24.755,62.611,0.553,13.709,MS,25.942,75.104,3.831,271.035
1021,12/02/2019 12:00,0.03233,0.0236,0.05593,0.376,0.02079,MS,MS,17.224,-19.254,77.902,5.797,163.798,0.00108,0.04202,0.02784,0.06987,0.41,0.01425,17.892,-19.267,75.756,6.071,120.395,63.228,33.679,96.911,0.715,15.894,MS,32.042,68.918,1.594,177.136
1022,12/02/2019 13:00,0.03353,0.02256,0.05615,0.377,0.02129,MS,MS,20.643,-18.752,76.256,6.291,165.571,0.00075,0.01862,0.01731,0.03592,0.275,0.02078,14.578,-18.917,73.171,7.2,124.857,C,C,C,C,23.606,MS,26.267,64.343,7.33,147.877
1023,12/02/2019 14:00,0.03137,0.02371,0.05508,0.369,0.01997,MS,MS,23.21,-18.33,74.998,4.605,159.362,0.00072,0.00914,0.01188,0.02102,0.216,0.02613,14.059,-18.056,71.747,7.437,123.284,C,C,C,C,30.081,MS,21.342,62.925,7.994,160.965
1024,12/02/2019 15:00,0.01941,0.01776,0.03716,0.3,0.02332,MS,MS,19.483,-18.162,75.908,7.268,133.803,0.00074,0.0074,0.01101,0.01841,0.208,0.0271,14.296,-17.727,73.06,9.485,116.837,C,C,C,C,30.739,MS,21.341,63.827,7.784,159.495
1025,12/02/2019 16:00,0.0106,0.01428,0.02487,0.278,0.02701,MS,MS,16.936,-18.016,74.531,8.756,131.507,0.00067,0.00418,0.009,0.01317,0.201,0.0309,14.023,-17.38,70.922,10.23,131.131,C,C,C,C,C,MS,C,66.5,9.083,149.805
1026,12/02/2019 17:00,0.00746,0.01628,0.02374,0.293,0.02405,MS,MS,19.021,-18.422,75.902,8.666,118.104,0.00063,0.00211,0.008,0.01011,0.204,0.03168,11.389,-17.743,70.2,10.021,142.668,C,C,C,0.136,C,MS,C,68.259,9.456,149.009
1027,12/02/2019 18:00,0.00368,0.02185,0.02552,0.315,0.01583,MS,MS,20.99,-18.895,80.206,8.561,107.234,0.00052,0.003,0.01449,0.01749,0.228,0.02529,11.098,-18.221,76.365,8.923,130.069,3.132,22.303,25.433,0.189,C,MS,28.373,70.515,7.595,135.368
1028,12/02/2019 19:00,0.00075,0.01972,0.02047,0.288,0.01728,MS,MS,16.304,-18.798,81.354,7.465,111.381,0.00053,0.00046,0.00672,0.00719,0.178,0.03141,8.992,-18.295,77.323,9.242,143.652,1.564,28.092,29.652,0.225,14.198,MS,25.934,72.987,6.37,131.637
1029,12/02/2019 20:00,0.00096,0.01977,0.02072,0.261,0.01814,MS,MS,12.683,-18.7,84.661,5.312,141.435,0.00055,0.00013,0.00601,0.00614,0.175,0.03126,8.384,-18.567,81.079,10.006,161.159,0.736,15.133,15.864,0.134,26.489,MS,16.497,74.571,8.331,161.051
1030,12/02/2019 21:00,0.00029,0.01404,0.01434,0.235,0.02416,MS,MS,8.844,-18.731,86.346,6.121,177.518,0.00053,0.00015,0.00805,0.0082,0.186,0.02926,9.234,-18.708,86.392,8.472,167.602,0.45,11.247,11.691,0.121,29.441,MS,12.588,76.723,7.03,163.568
1031,12/02/2019 22:00,0.00005,0.00999,0.01005,0.228,0.02761,MS,MS,9.18,-18.834,84.98,6.538,186.901,0.00059,0.00011,0.00706,0.00717,0.179,0.02919,8.493,-19.013,88.026,9.234,164.132,0.354,11.055,11.402,0.137,29.915,MS,12.824,77.854,5.991,188.82
1032,12/02/2019 23:00,0.00019,0.01203,0.01222,0.217,0.02541,MS,MS,9.455,-19.037,84.516,6.706,176.304,0.00067,0.00009,0.00669,0.00678,0.177,0.02923,7.578,-19.168,85.702,9.081,164.419,0.189,10.78,10.961,0.146,30.246,MS,14.341,77.395,6.851,165.921
1033,13/02/2019 0:00,0.00011,0.01022,0.01033,0.214,0.02552,MS,MS,9.462,-19.278,84.556,7.032,182.291,0.00085,0.00014,0.00664,0.00679,0.177,0.02869,8.182,-19.387,81.628,9.264,169.374,0.309,11.643,11.942,0.166,28.828,MS,11.683,76.353,6.04,163.339
1034,13/02/2019 1:00,0.00012,0.01178,0.0119,0.215,0.02323,MS,MS,10.812,-19.434,84.089,5.798,183.124,0.0008,0.00014,0.00782,0.00796,0.178,0.02721,8.92,-19.488,85.861,7.116,164.607,0.136,10.859,10.984,0.147,28.397,MS,8.463,75.55,6.002,152.818
1035,13/02/2019 2:00,0.00046,0.01052,0.01097,0.205,0.02491,MS,MS,8.08,-19.518,84.329,5.596,179.776,Z,Z,Z,Z,Z,Z,9.695,-19.512,88.877,6.68,161.278,0.081,11.37,11.439,0.157,27.559,MS,7.144,76.9,6.088,156.16
1036,13/02/2019 3:00,0.00019,0.00974,0.00993,0.199,0.02606,MS,MS,7.722,-19.484,84.643,5.807,179.194,0.00074,0.00007,0.00687,0.00694,0.173,0.02828,10.504,-19.514,87.227,7.694,161.348,Z,Z,Z,0.156,32.067,MS,5.531,76.057,5.329,157.854
1037,13/02/2019 4:00,0.00136,0.01117,0.01253,0.194,0.02459,MS,MS,9.374,-19.995,86.048,5.456,166.564,0.00057,0.00025,0.01083,0.01108,0.18,0.02294,12.793,-20.398,88.339,6.186,136.291,0.104,15.411,15.502,Z,Z,MS,7.139,77.159,3.236,175.715
1038,13/02/2019 5:00,0.02102,0.04366,0.06472,0.318,0.00143,MS,MS,11.484,-20.573,86.463,4.258,156.871,0.0003,0.00116,0.01656,0.01772,0.196,0.01456,14.545,-22.291,88.229,5.449,126.542,0.441,19.339,19.767,0.23,20.5,MS,7.625,78.406,4.108,160.609
1039,13/02/2019 6:00,0.03666,0.04426,0.08091,0.391,0.00052,MS,MS,14.506,-21.421,87.449,5.291,144.328,0.00032,0.00438,0.02438,0.02874,0.224,0.00699,15.83,-23.037,87.272,5.296,124.869,1.954,31.49,33.432,0.251,9.643,MS,8.346,79.052,2.291,186.033
1040,13/02/2019 7:00,0.06651,0.04467,0.11119,0.547,0.00061,MS,MS,16.603,-21.797,85.693,3.3,153.042,0.0003,0.01022,0.02966,0.03987,0.282,0.00262,17.424,-23.858,86.015,5.092,130.676,5.501,35.922,41.417,0.299,4.654,MS,7.303,79.716,5.343,162.482
1041,13/02/2019 8:00,0.06549,0.04645,0.11194,0.598,0.00103,MS,MS,19.827,-21.612,84.727,3.812,146.278,0.00044,0.03101,0.03462,0.06563,0.387,0.0007,20.15,-23.963,86.837,5.359,115.22,9.278,35.899,45.165,0.348,3.449,MS,5.907,79.801,5.458,162.191
1042,13/02/2019 9:00,0.03863,0.03698,0.0756,0.53,0.00683,MS,MS,19.385,-21.53,85.531,4.986,159.011,0.00067,0.05241,0.03538,0.08778,0.468,0.0036,22.196,-23.447,86.506,5.39,121.507,11.579,29.086,40.657,0.367,12.149,MS,8.139,79.009,5.863,161.89
1043,13/02/2019 10:00,0.03252,0.03301,0.06553,0.543,0.01333,MS,MS,17.523,-21.184,85.421,6.572,186.487,0.00064,0.03798,0.02766,0.06564,0.364,0.0102,21.788,-22.189,88.524,22.382,315.55,10.897,18.158,29.048,0.306,24.902,MS,7.316,76.913,6.792,157.672
1044,13/02/2019 11:00,C,C,C,C,0.02124,MS,MS,15.791,-20.726,84.594,5.664,181.475,0.0005,0.00655,0.01126,0.01781,0.219,0.02632,19.111,-20.192,89.905,16.599,310.585,10.991,14.706,25.682,0.29,28.797,MS,10.1,73.215,5.871,163.059
1045,13/02/2019 12:00,C,C,C,C,0.02579,MS,MS,15.569,-19.853,82.443,4.306,194.692,0.0006,0.0114,0.0145,0.0259,0.237,0.02458,16.553,-19.156,84.751,1.585,217.798,11.183,14.187,25.364,0.272,28.937,MS,13.459,72.485,4.18,184.06
1046,13/02/2019 13:00,C,C,C,C,0.02697,MS,MS,17.105,-19.017,80.676,4.37,180.102,0.00064,0.00788,0.01147,0.01935,0.222,0.02751,14.871,-18.197,80.033,4.26,126.055,12.27,13.445,25.705,0.263,30.193,MS,12.811,69.959,2.851,213.682
1047,13/02/2019 14:00,C,C,C,0.035,C,MS,MS,C,-18.146,78.07,5.148,180.977,0.00069,0.00813,0.0107,0.01883,0.209,0.02866,14.357,-17.276,74.393,5.074,129.843,14.803,13.47,28.263,0.275,31.502,MS,14.067,65.035,1.889,225.476
1048,13/02/2019 15:00,0.01599,0.01388,0.02986,0.058,C,MS,MS,C,-17.332,73.754,5.069,184.19,0.00069,0.00687,0.00878,0.01565,0.186,0.03007,14.058,-17.282,72.633,8.762,130.708,15.775,14.699,30.467,0.29,31.507,MS,16.384,59.517,2.918,210.794
1049,13/02/2019 16:00,0.01443,0.01569,0.03012,0.095,C,MS,MS,17.339,-17.143,73.3,5.768,164.659,0.00053,0.00889,0.01226,0.02115,0.208,0.02798,16.081,-17.074,71.637,9.265,134.763,11.88,14.672,26.545,0.292,31.291,MS,18.706,61.473,6.123,158.234
1050,13/02/2019 17:00,0.01959,0.02318,0.04271,0.15,0.02203,MS,MS,17.294,-17.186,73.854,6.838,156.625,0.00049,0.0072,0.01502,0.02221,0.215,0.02474,14.025,-17.651,72.423,8.67,124.77,7.139,14.944,22.073,0.279,30.176,MS,15.067,60.159,5.506,202.912
1051,13/02/2019 18:00,0.02461,0.03977,0.06437,0.264,0.00731,MS,MS,20.235,-18.138,77.438,5.894,137.441,0.00026,0.00948,0.02622,0.03571,0.269,0.01383,16.95,-19.362,77.057,8.487,122.455,2.746,16.922,19.655,0.275,26.865,MS,14.306,63.644,5.707,211.316
1052,13/02/2019 19:00,0.02202,0.04548,0.06751,0.225,0.00135,MS,MS,24.347,-19.11,81.26,4.297,149.136,0.00023,0.0069,0.03137,0.03826,0.275,0.00852,17.933,-20.956,84.234,6.845,138.109,2.175,24.696,26.865,0.478,18.291,MS,15.217,67.207,3.315,202.942
1053,13/02/2019 20:00,0.02577,0.04479,0.07055,0.246,0.00163,MS,MS,21.084,-19.533,84.141,5.574,175.568,0.00018,0.00566,0.03497,0.04062,0.294,0.00493,19.406,-21.058,86.6,8.755,66.616,7.19,39.758,46.941,0.42,4.797,MS,16.507,71.927,3.915,275.595
1054,13/02/2019 21:00,0.00656,0.03758,0.04414,0.207,0.00434,MS,MS,16.173,-20.175,86.461,6.218,172.527,0.00016,0.01141,0.03823,0.04963,0.311,0.00225,19.295,-21.112,88.328,2.953,164.777,5.547,38.156,43.698,0.359,5.403,MS,16.512,75.078,4.686,290.298
1055,13/02/2019 22:00,0.01516,0.0428,0.05795,0.291,0.00129,MS,MS,17.77,-20.572,88.71,3.936,174.317,0.0003,0.01285,0.03709,0.04994,0.313,0.00463,16.884,-20.897,88.823,1.168,60.056,3.201,30.243,33.438,0.297,11.574,MS,12.924,75.466,6.377,292.875
1056,13/02/2019 23:00,0.02127,0.04285,0.06411,0.315,0.00127,MS,MS,18.857,-20.417,87.6,4.061,174.594,0.00019,0.01029,0.03873,0.04902,0.327,0.00281,16.696,-21.275,88.507,2.141,183.089,1.008,25.764,26.768,0.296,15.201,MS,6.355,75.337,7.761,303.855
1057,14/02/2019 0:00,0.02638,0.04301,0.06938,0.364,0.00126,MS,MS,20.367,-21.011,86.089,2.294,175.836,0.00043,0.03062,0.04218,0.0728,0.355,0.00229,17.894,-21.578,87.775,4.771,237.484,0.729,22.07,22.795,0.245,15.183,MS,5.028,75.925,9.255,305.656
