1829,18/03/2022 4:00,Z,Z,Z,Z,Z,MS,MS,2.741,2.555,46.734,7.198,359.589,0.00057,0.00172,0.02011,0.02184,0.19,0.01979,5.932,2.479,48.786,5.635,25.492,Z,Z,Z,Z,Z,MS,-0.796,48.89,4.447,4.289
1830,18/03/2022 5:00,0.00221,0.03041,0.03262,0.236,0.00668,MS,MS,3.458,0.703,55.453,4.48,323.338,0.00082,0.01542,0.03797,0.05339,0.273,0.00272,15.363,1.509,52.254,1.923,304.476,0.119,14.42,14.54,0.353,24.146,MS,-0.752,52.281,2.228,282.761
1831,18/03/2022 6:00,0.02652,0.03552,0.06221,0.344,0.00082,MS,MS,6.217,-1.044,70.199,3.075,348.254,0.00084,0.02272,0.04101,0.06373,0.327,0.00049,16.984,0.657,55.556,1.768,261.196,1.597,27.463,29.065,0.415,11.898,MS,0.057,60.254,2.124,285.224
1832,18/03/2022 7:00,0.08887,0.04756,0.13639,0.655,0.00101,MS,MS,9.762,-1.751,72.369,0.606,4.849,0.00084,0.06569,0.04728,0.11297,0.52,0.00065,18.735,0.396,57.096,2.745,269.136,5.279,36.57,41.853,0.597,5.933,MS,1.491,59.954,3.26,293.552
1833,18/03/2022 8:00,0.10751,0.04589,0.1533,0.789,0.00193,MS,MS,11.672,-0.333,69.342,0.321,235.927,0.00079,0.05418,0.04189,0.09607,0.562,0.0041,13.921,0.748,57.06,3.178,262.455,6.124,27.732,33.861,0.366,13.48,MS,2.314,55.915,3.62,274.883
1834,18/03/2022 9:00,0.05018,0.03133,0.08151,0.538,0.01358,MS,MS,8.539,3.481,51.151,3.888,335.264,0.00087,0.03369,0.03386,0.06755,0.531,0.01008,8.177,2.805,51.12,2.32,243.795,4.586,15.631,20.222,0.245,22.008,MS,M,49.884,4.56,278.213
1835,18/03/2022 10:00,0.00544,0.01406,0.01951,0.256,0.02807,MS,MS,3.927,4.96,44.291,0.586,59.767,0.00116,0.01509,0.02709,0.04218,0.354,0.02137,7.393,5.133,43.603,1.258,178.623,4.215,14.165,18.385,0.216,27.536,MS,M,45.904,4.154,258.977
1836,18/03/2022 11:00,0.01142,0.02215,0.03357,0.29,0.02378,MS,MS,9.55,5.393,42.972,4.925,128.231,0.00058,0.00284,0.00779,0.01063,0.189,0.04134,1.717,5.856,43.798,6.106,129.672,2.764,11.413,14.182,0.215,32.249,MS,M,41.364,4.116,169.312
1837,18/03/2022 12:00,0.00481,0.01143,0.01624,0.212,0.03244,MS,MS,6.287,5.711,42.797,7.599,138.547,0.00032,0.00123,0.00323,0.00446,0.16,0.0459,0.663,6.736,42.144,8.828,136.753,3.3,12.162,15.468,0.217,34.158,MS,4.115,40.27,7.528,150.909
1838,18/03/2022 13:00,0.00155,0.00432,0.00587,0.169,0.03788,MS,MS,3.916,6.825,41.27,9.627,138.546,0.00027,0.00125,0.00355,0.0048,0.157,0.04466,1.607,6.969,42.506,10.137,130.766,1.582,6.728,8.316,0.19,39.886,MS,4.231,40.483,10.215,151.578
1839,18/03/2022 14:00,0.00126,0.00358,0.00484,0.167,0.03834,MS,MS,3.506,7.443,41.549,11.944,130.314,0.00021,0.00094,0.00232,0.00327,0.148,0.04736,1.543,8.175,39.391,14.082,139.808,1.267,5.082,6.356,0.175,40.954,MS,4.729,39.591,9.357,149.291
1840,18/03/2022 15:00,0.00076,0.00278,0.00354,0.159,0.04064,MS,MS,3.735,8.632,36.27,9.73,147.751,0.00012,0.00051,0.00141,0.00192,0.142,0.04974,1.385,9.067,35.142,16.249,154.458,0.75,3.61,4.367,0.166,43.672,MS,3.363,35.474,9.535,162.554
1841,18/03/2022 16:00,0.00047,0.00217,0.00263,0.154,0.04241,MS,MS,4.102,9.381,31.792,8.933,162.757,0.0001,0.00061,0.0018,0.00241,0.146,0.04956,1.527,9.433,33.666,15.8,142.393,0.522,2.591,3.121,0.163,45.547,MS,3.007,31.879,10.971,163.265
1842,18/03/2022 17:00,0.00019,0.0025,0.00272,0.149,0.04284,MS,MS,2.809,9.53,29.455,4.648,154.252,0.00008,0.00039,0.00159,0.00199,0.146,0.05196,1.398,10.022,26.996,2.781,192.043,0.23,1.916,2.154,0.151,47.86,MS,2.354,24.582,9.234,279.691
1843,18/03/2022 18:00,0.00006,0.00263,0.0027,0.149,0.04509,MS,MS,2.644,9.02,22.955,12.017,297.789,0.00005,0.00047,0.00232,0.00278,0.149,0.05361,1.874,9.846,21.886,8.195,287.994,0.082,1.56,1.65,0.15,48.638,MS,2.543,23.055,10.492,302.327
1844,18/03/2022 19:00,-0.00013,0.00535,0.00521,0.168,0.0417,MS,MS,2.906,7.799,24.978,11.76,291.923,0.00007,0.00024,0.00415,0.00439,0.172,0.05005,2.636,8.269,24.274,6.677,295.758,0.061,3.672,3.742,0.171,44.924,MS,3.05,27.694,7.652,298.448
1845,18/03/2022 20:00,-0.00015,0.00905,0.00889,0.173,0.0378,MS,MS,2.906,6.655,26.812,14.956,286.983,0.00005,0.00017,0.00434,0.0045,0.17,0.04885,3.026,6.671,27.282,9.141,280.572,0.032,5.372,5.407,0.166,42.204,MS,2.022,31.715,7.085,298.301
1846,18/03/2022 21:00,0.00038,0.01499,0.01537,0.174,0.03238,MS,MS,2.989,5.632,28.391,11.379,271.275,0.00014,0.00016,0.00548,0.00564,0.174,0.04639,3.534,5.402,29.945,10.531,273.329,0.057,6.903,6.977,0.173,40.709,MS,2.258,32.522,8.073,296.463
1847,18/03/2022 22:00,0.00057,0.02142,0.02199,0.21,0.02637,MS,MS,2.985,4.699,31.856,8.409,264.643,0.00015,0.00027,0.01273,0.013,0.231,0.0363,7.252,3.631,34.798,6.292,262.546,0.059,6.155,6.225,0.158,41.445,MS,1.068,32.963,6.622,319.132
1848,18/03/2022 23:00,0.00009,0.01969,0.01976,0.227,0.02511,MS,MS,2.75,2.801,37.024,5.905,254.84,0.00009,0.00017,0.01155,0.01172,0.221,0.03579,6.767,2.571,39.013,6.716,265.1,0.021,4.624,4.653,0.151,41.539,MS,0.654,35.835,4.961,311.063
1849,19/03/2022 0:00,0.00016,0.02366,0.02378,0.228,0.01843,MS,MS,2.422,1.234,43.24,2.786,266.879,0.00011,0.0005,0.01862,0.01912,0.279,0.0263,8.741,1.322,44.38,3.965,267.512,0.035,7.193,7.236,0.2,37.615,MS,1.275,39.164,4.43,274.734
1850,19/03/2022 1:00,0.00039,0.02852,0.02891,0.257,0.01292,MS,MS,3.855,0.106,49.965,1.204,200.401,0.0001,0.00035,0.02126,0.02161,0.268,0.02025,8.883,0.035,51.38,3.006,230.957,0.028,6.096,6.135,0.16,36.672,MS,1.637,44.278,3.768,327.015
1851,19/03/2022 2:00,0.00002,0.02217,0.02219,0.221,0.01525,MS,MS,4.17,-0.756,55.894,2.136,170.672,Z,Z,Z,Z,Z,Z,4.095,-0.45,54.004,3.238,238.023,0.046,9.018,9.076,0.161,32.041,MS,2.005,48.059,1.73,266.62
1852,19/03/2022 3:00,0.0004,0.02165,0.02205,0.233,0.01363,MS,MS,3.982,-1.54,62.936,0.459,147.08,0.00018,0.00058,0.01734,0.01792,0.214,0.02111,3.627,-0.952,56.671,2.305,254.947,0.22,18.02,18.253,0.371,20.575,MS,1.05,57.708,2.1,299.165
1853,19/03/2022 4:00,Z,Z,Z,Z,Z,MS,MS,4.832,-2.463,70.419,0.828,158.442,0.0001,0.00066,0.02012,0.02078,0.219,0.0138,3.975,-1.899,66.267,0.647,231.299,Z,Z,Z,Z,Z,MS,0.838,58.839,4.612,297.674
1854,19/03/2022 5:00,0.01172,0.03285,0.04457,0.325,0.00063,MS,MS,4.75,-2.821,80.553,0.312,15.355,0.00013,0.00275,0.02493,0.02769,0.224,0.01144,6.367,-1.908,64.373,2.828,295.762,0.087,13.294,13.393,0.195,24.838,MS,0.878,57.734,3.129,299.597
1855,19/03/2022 6:00,0.02075,0.03571,0.05646,0.345,0.00051,MS,MS,5.413,-2.988,81.919,0.175,72.186,0.0001,0.00121,0.02298,0.02418,0.199,0.01291,4.226,-1.487,60.72,2.007,255.27,0.105,17.019,17.135,0.25,20.525,MS,1.079,60.357,2.286,307.512
1856,19/03/2022 7:00,0.03167,0.03506,0.06673,0.359,0.00063,MS,MS,5.864,-3.069,85.218,0.535,180.579,0.00013,0.0036,0.02666,0.03024,0.266,0.01071,5.513,-1.394,60.764,3.307,262.427,2.943,30.435,33.388,0.316,8.402,MS,1.654,62.422,2.071,306.081
1857,19/03/2022 8:00,0.04259,0.03231,0.0749,0.407,0.00209,MS,MS,6.289,-2.262,84.918,0.686,17.938,0.00025,0.01826,0.03158,0.04983,0.33,0.00488,9.614,-0.886,63.934,1.208,284.929,9.611,31.505,41.125,0.375,6.582,MS,4.766,62.738,1.798,269.606
1858,19/03/2022 9:00,0.06345,0.03585,0.0993,0.55,0.005,MS,MS,10.765,0.411,74.908,0.4,227.978,0.0003,0.02144,0.02712,0.04857,0.314,0.01095,17.992,0.956,59.593,1.154,270.504,8.057,22.344,30.409,0.276,14.929,MS,4.721,55.61,2.461,308.922
1859,19/03/2022 10:00,0.03751,0.03304,0.07056,0.435,0.01313,MS,MS,10.654,4.253,46.818,0.801,215.641,0.00034,0.01476,0.02537,0.04013,0.31,0.01904,15.169,3.838,45.473,1.235,167.909,5.336,17.144,22.487,0.224,25.991,MS,4.824,38.254,2.556,306.6
1860,19/03/2022 11:00,0.01023,0.01873,0.02896,0.341,0.02426,MS,MS,9.096,5.518,40.57,4.429,176.733,0.0003,0.01123,0.01924,0.03047,0.338,0.02234,11.092,5.543,44.239,2.992,137.167,4.255,14.081,18.342,0.219,32.272,MS,6.464,32.882,5.825,151.478
1861,19/03/2022 12:00,0.00466,0.01021,0.01487,0.236,0.03521,MS,MS,7.752,7.255,35.021,6.739,169.624,0.00017,0.00357,0.00755,0.01112,0.212,0.04171,5.816,8.712,32.906,4.003,164.128,2.789,9.609,12.401,0.205,38.659,MS,6.14,30.526,9.371,160.13
1862,19/03/2022 13:00,0.00076,0.00306,0.00382,0.167,0.04351,MS,MS,5.101,8.264,30.733,6.047,160.57,0.0001,0.00064,0.0023,0.00295,0.15,0.05074,3.922,9.64,29.701,5.036,158.677,1.039,5.473,6.517,0.171,42.903,MS,5.195,30.231,7.952,153.041
1863,19/03/2022 14:00,0.00046,0.00197,0.00243,0.152,0.04487,MS,MS,5.256,9.526,29.661,6.659,122.238,0.00007,0.00061,0.00205,0.00266,0.154,0.04923,4.305,9.705,33.979,10.415,122.14,0.857,4.114,4.978,0.156,45.66,MS,5.068,28.823,5.472,121.589
1864,19/03/2022 15:00,0.00029,0.00168,0.00197,0.18,0.04534,MS,MS,5.572,10.213,30.989,9.236,117.524,0.00008,0.0005,0.00147,0.00197,0.147,0.05286,3.378,11.119,30.466,10.386,108.181,0.687,3.688,4.377,0.157,47.471,MS,5.266,28.818,8.358,109.435
1865,19/03/2022 16:00,0.00034,0.0021,0.00244,0.144,0.04466,MS,MS,5.435,10.591,32.42,12.372,94.52,0.00004,0.00026,0.00103,0.00129,0.136,0.05789,2.222,11.242,24.971,12.282,161.18,0.504,2.975,3.484,0.149,48.758,MS,5.045,28.672,7.999,98.658
1866,19/03/2022 17:00,0.00021,0.00168,0.00189,0.154,0.04725,MS,MS,5.689,11.408,25.641,9.414,152.654,0.00003,0.00021,0.001,0.00121,0.139,0.05685,2.092,11.483,24.361,15.212,164.129,0.433,3.375,3.809,0.142,47.909,MS,5.791,29.349,6.837,74.585
1867,19/03/2022 18:00,0.00021,0.00254,0.00275,0.166,0.04626,MS,MS,8.596,11.599,23.634,4.695,185.396,0.00007,0.00021,0.00184,0.00205,0.148,0.05522,1.994,11.518,23.203,10.32,200.428,0.193,3.107,3.303,0.138,48.912,MS,6.057,26.543,3.604,21.223
1868,19/03/2022 19:00,-0.00004,0.00648,0.00644,0.159,0.04212,MS,MS,7.168,10.159,27.621,7.365,297.856,0.00008,0.00014,0.00419,0.00432,0.173,0.05128,2.982,10.357,26.561,6.916,268.569,0.047,3.381,3.426,0.149,47.063,MS,6.19,28.462,6.462,316.119
1869,19/03/2022 20:00,-0.00016,0.01081,0.01065,0.224,0.0352,MS,MS,9.455,8.085,34.144,3.508,314.532,0.00014,0.00004,0.00793,0.00796,0.213,0.04289,5.439,7.997,31.752,5.536,210.633,0.036,10.894,10.928,0.32,35.347,MS,11.288,35.819,3.258,305.889
1870,19/03/2022 21:00,0.00044,0.02044,0.02088,0.227,0.02409,MS,MS,7.726,6.224,37.221,5.679,230.249,0.00017,0.00015,0.01661,0.01675,0.26,0.03075,8.957,6.828,34.886,5.459,229.665,0.047,13.632,13.677,0.287,31.086,MS,9.998,36.569,4.598,298.336
1871,19/03/2022 22:00,0.00007,0.01936,0.01943,0.213,0.02407,MS,MS,6.108,5.438,38.466,1.715,283.006,0.00023,0.00038,0.02246,0.02283,0.276,0.0238,9.979,5.988,37.862,4.769,226.916,0.037,13.666,13.7,0.251,29.639,MS,4.846,38.961,3.962,310.324
1872,19/03/2022 23:00,-0.00013,0.02109,0.02096,0.244,0.01982,MS,MS,6.251,4.148,44.333,0.64,193.473,0.00047,0.00025,0.01788,0.0181,0.283,0.02422,9.747,4.826,43.494,1.574,196.274,0.135,16.709,16.841,0.296,24.806,MS,6.78,42.869,4.013,277.104
1873,20/03/2022 0:00,0.00007,0.02675,0.02681,0.304,0.0112,MS,MS,8.373,3.02,50.723,2.215,207.922,0.00045,0.00034,0.01623,0.01657,0.279,0.02594,12.24,4.088,45.385,6.517,260.731,0.047,9.744,9.786,0.204,30.892,MS,3.74,47.73,6.196,303.702
1874,20/03/2022 1:00,0.0004,0.01018,0.01058,0.195,0.03025,MS,MS,3.492,4.01,63.471,8.233,281.618,0.00012,0.00015,0.00688,0.00705,0.192,0.03629,6.008,3.259,56.793,5.937,283.113,0.012,2.747,2.754,0.157,40.174,MS,0.692,65.91,8.451,297.096
1875,20/03/2022 2:00,0.00673,0.02276,0.02949,0.183,0.02078,MS,MS,2.993,3.542,72.463,8.494,271.155,Z,Z,Z,Z,Z,Z,2.334,2.652,77.987,8.12,265.402,0.012,2.74,2.746,0.167,39.144,MS,0.774,68.706,9.312,294.735
1876,20/03/2022 3:00,0.00062,0.01538,0.016,0.17,0.02698,MS,MS,2.276,3.567,57.803,9.532,273.108,0.00008,0.00007,0.00534,0.00541,0.158,0.03829,1.572,2.328,86.317,7.507,271.862,0.008,2.866,2.867,0.159,38.241,MS,0.328,62.974,7.485,294.602
1877,20/03/2022 4:00,Z,Z,Z,Z,Z,MS,MS,2.143,3.054,60.811,14.758,307.695,0.00011,0.00026,0.00474,0.00499,0.156,0.0408,0.464,2.795,63.035,6.548,302.952,Z,Z,Z,Z,Z,MS,0.304,66.005,11.487,313.562
1878,20/03/2022 5:00,-0.00018,0.00264,0.00246,0.149,0.03879,MS,MS,1.592,2.233,77.311,15.355,318.376,0.00008,0.00026,0.00388,0.00414,0.15,0.04554,0.387,2.56,74.529,10.743,319.571,0.029,2.236,2.258,0.138,43.223,MS,-0.432,74.148,13.073,326.634
1879,20/03/2022 6:00,-0.00015,0.00234,0.00218,0.156,0.03692,MS,MS,1.432,1.513,98.737,17.688,324.067,0.00011,0.00011,0.00402,0.00414,0.155,0.04394,-0.247,2.211,96.525,14.781,337.002,0.097,2.808,2.897,0.152,41.435,MS,-0.505,87.713,12.413,328.979
1880,20/03/2022 7:00,-0.00015,0.00186,0.00171,0.159,0.0366,MS,MS,1.474,0.427,99.625,27.409,328.321,0.00013,0.00017,0.00484,0.00501,0.157,0.04266,-0.136,1.215,99.755,19.262,334.203,0.174,2.451,2.618,0.153,40.476,MS,-0.623,87.628,21.454,336.988
1881,20/03/2022 8:00,-0.00008,0.00206,0.00198,0.16,0.03569,MS,MS,1.431,-0.463,99.653,23.543,321.137,0.00011,0.00029,0.0035,0.00379,0.159,0.04233,-0.564,0.391,99.851,20.331,332.261,0.235,2.162,2.389,0.153,40.287,MS,-0.626,83.912,24.986,337.801
1882,20/03/2022 9:00,-0.00002,0.00173,0.00172,0.156,0.0377,MS,MS,1.613,-0.757,99.835,27.219,329.15,0.00013,0.00037,0.00323,0.00361,0.149,0.04473,-0.065,-0.236,96.358,22.965,332.126,0.321,2.167,2.482,0.146,42.045,MS,-0.289,74.84,24.785,338.465
1883,20/03/2022 10:00,0.00016,0.00177,0.00193,0.158,0.03844,MS,MS,1.653,0.328,73.187,23.149,317.708,0.00021,0.00057,0.00288,0.00345,0.15,0.0459,0.187,0.699,63.592,19.61,327.94,0.287,2.036,2.318,0.142,42.726,MS,-0.365,57.378,18.452,325.248
1884,20/03/2022 11:00,0.0002,0.0013,0.00151,0.155,0.03962,MS,MS,1.683,1.784,48.906,24.446,321.39,0.00017,0.00081,0.00241,0.00321,0.154,0.0471,0.848,1.943,42.068,18.051,324.194,0.404,1.842,2.237,0.144,42.987,MS,-0.413,44.592,17.917,334.104
1885,20/03/2022 12:00,0.00022,0.00094,0.00116,0.151,0.04111,MS,MS,1.614,3.057,37.453,24.151,332.46,0.00028,0.00089,0.00228,0.00317,0.157,0.04843,0.923,2.955,32.561,20.971,336.314,0.431,1.66,2.081,0.141,43.749,MS,-0.543,35.992,19.278,344.525
1886,20/03/2022 13:00,0.00027,0.00104,0.00131,0.152,0.04163,MS,MS,1.618,3.262,33.02,26.062,345.352,0.00031,0.00056,0.00157,0.00213,0.157,0.04928,1.333,3.931,28.272,20.344,344.809,0.344,1.389,1.727,0.141,43.893,MS,-0.592,34.767,19.224,341.301
1887,20/03/2022 14:00,0.00026,0.00096,0.00122,0.15,0.0416,MS,MS,1.634,4.126,33.358,23.825,345.458,0.00031,0.0008,0.00201,0.00281,0.162,0.04828,1.448,4.906,29.839,16.663,353.102,0.312,1.334,1.639,0.142,44.004,MS,-0.461,36.47,15.517,352.299
1888,20/03/2022 15:00,0.00018,0.00104,0.00121,0.151,0.04091,MS,MS,1.653,4.764,33.897,18.418,343.623,0.0005,0.00061,0.00226,0.00287,0.163,0.04777,1.229,4.549,32.87,10.978,351.848,0.224,1.469,1.685,0.143,43.992,MS,-0.426,37.098,12.286,356.969
1889,20/03/2022 16:00,0.00016,0.00148,0.00164,0.156,0.0401,MS,MS,1.691,4.495,35.204,12.131,350.995,0.00035,0.00025,0.00221,0.00246,0.166,0.04642,0.32,4.207,43.601,4.577,249.959,0.244,1.476,1.712,0.142,43.854,MS,-0.273,38.534,9.435,357.765
1890,20/03/2022 17:00,0.0001,0.00172,0.00181,0.159,0.03927,MS,MS,1.797,3.787,41.889,11.239,352.537,0.0002,0.00025,0.00234,0.00258,0.162,0.04527,0.745,3.865,49.709,5.283,154.096,0.249,2.129,2.37,0.15,43.03,MS,0.115,45.959,6.521,3.492
1891,20/03/2022 18:00,0.00014,0.00315,0.0033,0.17,0.03755,MS,MS,2.109,4.252,42.281,1.698,15.29,0.00018,0.00051,0.00455,0.00506,0.159,0.0416,1.855,3.797,49.204,5.561,122.815,0.101,1.926,2.019,0.151,43.354,MS,0.2,44.092,2.795,320.597
1892,20/03/2022 19:00,-0.00002,0.00379,0.00378,0.161,0.03901,MS,MS,2.068,4.071,31.595,9.59,267.153,0.00011,0.00028,0.00343,0.0037,0.154,0.04069,0.876,3.17,53.897,5.574,155.747,0.049,2.027,2.068,0.149,45.14,MS,0.618,21.653,13.062,280.966
1893,20/03/2022 20:00,0.00065,0.01187,0.01253,0.162,0.03283,MS,MS,2.358,2.95,24.024,13.16,274.128,0.00007,0.00032,0.007,0.00732,0.162,0.04176,1.617,2.829,32.135,8.47,270.068,0.012,2.569,2.574,0.146,43.081,MS,0.749,27.546,8.271,305.208
1894,20/03/2022 21:00,-0.00007,0.00491,0.00484,0.162,0.0384,MS,MS,1.848,2.107,26.159,13.504,286.025,0.00001,0.00029,0.00419,0.00448,0.142,0.04487,0.277,1.844,28.368,11.684,275.934,0.005,2.725,2.722,0.138,41.437,MS,-0.126,31.183,9.186,304.268
1895,20/03/2022 22:00,-0.00006,0.00605,0.00599,0.163,0.03705,MS,MS,1.688,1.661,27.093,15.03,285.125,0.00002,0.00023,0.00409,0.00433,0.15,0.04432,0.433,1.038,30.247,9.913,278.746,0.009,3.812,3.812,0.139,39.222,MS,-0.176,34.682,7.327,304.253
1896,20/03/2022 23:00,-0.00006,0.00579,0.00573,0.153,0.03681,MS,MS,1.608,1.337,28.048,15.073,279.763,0.00004,0.00052,0.00902,0.00954,0.17,0.03835,0.804,0.124,32.291,6.133,276.155,0.012,4.657,4.661,0.143,37.589,MS,-0.046,36.815,6.184,304.194
1897,21/03/2022 0:00,0.00186,0.01753,0.0194,0.161,0.02634,MS,MS,1.776,0.595,30.461,9.965,274.034,0.00006,0.00054,0.01496,0.0155,0.186,0.0309,1.273,-0.96,35.023,4.244,261.37,0.001,4.406,4.399,0.145,38.504,MS,-0.102,36.03,6.494,303.864
1898,21/03/2022 1:00,0.0044,0.03079,0.03521,0.182,0.01421,MS,MS,1.766,-0.402,33.874,5.893,249.473,0.00012,0.0006,0.01726,0.01785,0.19,0.02725,1.375,-1.37,37.045,3.783,249.682,-0.008,3.964,3.948,0.136,38.867,MS,-0.503,38.327,5.077,305.291
1899,21/03/2022 2:00,0.01311,0.03741,0.05054,0.222,0.009,MS,MS,2.067,-1.286,38.613,4.973,236.952,Z,Z,Z,Z,Z,Z,1.626,-2.541,43.916,2.605,241.812,0.001,5.94,5.933,0.149,36.149,MS,-0.347,41.1,4.169,311.271
1900,21/03/2022 3:00,0.00273,0.02673,0.02945,0.228,0.01545,MS,MS,1.789,-1.881,43.131,2.219,220.346,0.0003,0.01289,0.04023,0.05312,0.258,0.00275,2.518,-2.969,46.765,3.308,233.726,0.056,12.391,12.438,0.158,28.757,MS,0.01,43.837,3.665,330.2
1901,21/03/2022 4:00,Z,Z,Z,Z,Z,MS,MS,2.354,-2.861,54.515,1.029,206.91,0.00014,0.00269,0.02467,0.02737,0.203,0.01505,3.148,-3.371,48.295,3.584,250.841,Z,Z,Z,Z,Z,MS,-0.066,49.47,2.66,317.492
1902,21/03/2022 5:00,0.0037,0.03347,0.03716,0.265,0.00468,MS,MS,3.373,-3.288,56.946,3.128,176.912,0.00008,0.00139,0.02189,0.02327,0.211,0.01628,1.65,-3.774,50.644,4.598,243.634,0.169,21.695,21.847,0.197,20.705,MS,-0.177,49.689,3.74,309.822
1903,21/03/2022 6:00,0.04093,0.04423,0.08517,0.363,0.0007,MS,MS,3.71,-3.679,58.009,3.356,172.71,0.00011,0.00303,0.02429,0.02732,0.267,0.01406,2.937,-3.715,50.449,5.719,241.247,0.128,21.292,21.427,0.194,21.069,MS,-0.065,50.754,3.209,317.802
1904,21/03/2022 7:00,0.05908,0.04798,0.10716,0.514,0.00104,MS,MS,4.848,-3.743,59.217,3.093,176.438,0.00018,0.01183,0.03146,0.04329,0.318,0.00722,4.625,-3.758,52.055,5.825,237.077,0.984,25.656,26.625,0.221,17.99,MS,0.393,50.775,3.711,324.513
1905,21/03/2022 8:00,0.0548,0.04029,0.09505,0.517,0.00374,MS,MS,7.095,-1.471,55.128,2.432,166.412,0.00027,0.02439,0.03325,0.05764,0.372,0.00819,6.201,-2.484,50.443,4.669,233.26,2.665,21.329,23.99,0.235,22.444,MS,0.615,45.505,4.117,303.63
1906,21/03/2022 9:00,C,C,C,0.291,0.02369,MS,MS,4.335,3.178,38.257,9.109,276.644,0.00022,0.01537,0.02257,0.03796,0.332,0.02015,5.384,0.742,43.228,5.571,250.253,1.355,7.72,9.067,0.183,36.108,MS,0.574,38.305,7.079,292.394
1907,21/03/2022 10:00,C,C,C,0.173,0.03714,MS,MS,2.819,6.157,28.485,16.322,292.224,0.00014,0.00715,0.01224,0.01938,0.229,0.03345,2.462,4.868,33.689,8.156,256.813,0.302,2.107,2.4,0.138,43.495,MS,-0.075,29.4,16.36,297.668
1908,21/03/2022 11:00,C,C,C,0.149,0.04102,MS,MS,2.435,7.537,25.035,17.789,288.365,0.00004,0.00156,0.00353,0.00509,0.148,0.04741,1.438,7.492,24.756,14.527,277.186,0.19,1.171,1.351,0.129,45.207,MS,-0.101,26.244,16.268,302.32
1909,21/03/2022 12:00,C,C,C,0.139,0.0425,MS,MS,2.52,8.677,23.322,16.902,299.864,0.00003,0.00117,0.00247,0.00364,0.143,0.04902,1.1,8.665,22.482,13.65,276.853,0.209,1.161,1.361,0.133,45.849,MS,1.023,24.505,16.366,302.013
1910,21/03/2022 13:00,C,C,C,0.13,0.04375,MS,MS,2.975,9.642,21.782,16.794,302.453,0.00003,0.00092,0.00211,0.00303,0.14,0.05028,1.484,9.448,20.983,13.507,278.441,0.199,1.165,1.354,0.131,46.798,MS,0.885,23.041,14.067,283.825
1911,21/03/2022 14:00,C,C,C,0.124,C,MS,MS,3.1,10.368,21.176,12.981,298.686,0.00011,0.00111,0.00261,0.00372,0.144,0.05028,2.699,10.369,20.305,12.223,274.273,0.194,1.089,1.273,0.133,47.247,MS,0.959,21.794,15.043,284.436
1912,21/03/2022 15:00,0.00075,0.0021,0.00284,0.123,C,MS,MS,3.916,10.977,20.317,15.47,285.225,0.00007,0.00091,0.00245,0.00336,0.144,0.05086,1.906,10.65,19.655,13.266,280.944,0.207,1.216,1.413,0.142,47.107,MS,0.988,20.79,16.525,279.634
1913,21/03/2022 16:00,0.0013,0.00292,0.00423,0.13,C,MS,MS,3.761,10.412,20.597,15.568,278.056,0.00007,0.0007,0.00208,0.00279,0.145,0.05113,1.41,11.218,19.086,12.122,275.376,0.303,1.32,1.613,0.141,46.704,MS,1.117,20.396,18.931,276.39
1914,21/03/2022 17:00,0.00066,0.00224,0.00289,0.128,C,MS,MS,4.205,10.779,20.42,18.665,281.544,0.00004,0.00066,0.00198,0.00264,0.146,0.05061,2.648,11.134,19.466,17.534,276.862,0.237,1.388,1.614,0.134,46.145,MS,1.392,21.069,18.553,282.404
1915,21/03/2022 18:00,0.00082,0.00365,0.00447,0.125,C,MS,MS,5.432,10.106,21.751,20.057,271.612,0.00002,0.00036,0.00148,0.00184,0.143,0.05015,2.205,10.127,21.031,18.398,280.309,0.126,1.494,1.61,0.134,45.723,MS,1.482,22.798,17.588,276.943
1916,21/03/2022 19:00,0.00017,0.00368,0.00384,0.127,C,MS,MS,4.241,8.282,24.563,17.36,280.026,0.00001,0.00023,0.00189,0.00212,0.149,0.04905,1.577,8.532,23.804,15.502,282.286,0.052,1.842,1.883,0.145,44.998,MS,0.857,26.189,12.12,288.167
1917,21/03/2022 20:00,-0.00001,0.00527,0.00526,0.144,C,MS,MS,4.122,6.467,29.002,9.115,306.64,0.00003,0.00019,0.0031,0.0033,0.154,0.0468,1.878,6.98,27.498,9.194,287.337,0.045,2.784,2.818,0.145,42.906,MS,-0.021,30.799,8.764,321.159
1918,21/03/2022 21:00,0.00001,0.00752,0.00752,0.158,C,MS,MS,3.57,5.414,32.185,10.161,296.019,0.00005,0.00029,0.00795,0.00825,0.173,0.04008,4.115,5.742,31.153,5.479,298.532,0.027,5.806,5.822,0.178,38.804,MS,0.661,35.514,5.154,286.23
1919,21/03/2022 22:00,0.00194,0.02198,0.02392,0.185,C,MS,MS,3.843,4.286,35.431,6.576,280.508,0.00004,0.00021,0.01349,0.01371,0.192,0.03312,2.99,4.109,35.627,3.652,268.074,0.036,8.463,8.489,0.177,34.877,MS,0.844,39.606,4.953,304.602
1920,21/03/2022 23:00,0.00004,0.01079,0.01083,0.195,C,MS,MS,2.739,3.8,37.686,5.496,314.781,0.00018,0.00043,0.01526,0.01569,0.203,0.02969,4.18,2.939,39.916,3.079,282.833,0.038,9.662,9.689,0.19,32.65,MS,0.824,42.329,4.639,298.611
