1205,20/02/2018 4:00,0.00086,0.01843,0.01926,0.192,0.02365,MS,MS,2.329,-15.505,58.829,9.33,329.021,0.00001,0.00762,0.03698,0.0446,0.245,0.00874,5.839,-17.252,70.189,7.866,283.092,1.293,15.382,16.672,N,24.751,MS,4.087,67.266,12.903,305.986
1206,20/02/2018 5:00,0.00107,0.02786,0.02893,0.22,0.01557,MS,MS,3.348,-15.46,60.921,5.662,318.375,0.00044,0.00679,0.02918,0.03596,0.218,0.01572,4.689,-16.559,64.615,9.639,276.267,1.47,14.441,15.908,N,27.249,MS,3.861,65.853,13.264,298.54
1207,20/02/2018 6:00,0.00102,0.02449,0.02551,0.225,0.01827,MS,MS,4.104,-15.434,62.554,9.564,324.738,0.00044,0.00378,0.02497,0.02875,0.229,0.01817,5.245,-16.523,67.284,9.681,280.86,1.506,14.157,15.66,N,27.229,MS,4.1,64.559,13.203,298.467
1208,20/02/2018 7:00,0.00157,0.02464,0.0262,0.242,0.0185,MS,MS,4.529,-15.487,61.839,10.794,325.788,0.00035,0.00717,0.03371,0.04087,0.277,0.0108,6.213,-16.331,67.833,9.222,279.738,1.84,16.407,18.244,N,25.219,MS,3.808,65.798,12.861,302.62
1209,20/02/2018 8:00,0.00306,0.02911,0.03217,0.27,0.01489,MS,MS,3.271,-15.446,62.596,6.453,321.76,0.00041,0.01147,0.03678,0.04825,0.327,0.00892,6.488,-16.554,68.831,8.241,284.311,4.379,20.437,24.814,N,21.709,MS,5.266,66.712,14.682,301.081
1210,20/02/2018 9:00,0.00881,0.025,0.0338,0.331,0.01894,MS,MS,4.332,-15.063,60.959,7.241,320.885,0.00157,0.03372,0.04036,0.07408,0.461,0.00877,6.631,-15.388,67.394,6.451,294.326,11.083,23.406,34.487,N,21.469,MS,4.974,64.102,13.213,298.314
1211,20/02/2018 10:00,0.01346,0.01981,0.03327,0.294,0.02428,MS,MS,4.59,-14.102,60.43,9.966,318.307,0.00122,0.01646,0.02376,0.04022,0.309,0.02183,4.976,-14.896,63.495,11.358,270.638,10.577,16.382,26.957,N,27.64,MS,4.902,62.758,13.652,298.895
1212,20/02/2018 11:00,0.01081,0.01179,0.0226,0.237,0.03157,MS,MS,3.156,-12.472,57.708,12.226,308.263,0.00133,0.00994,0.01395,0.02389,0.227,0.02952,3.776,-13.402,60.855,12.047,270.9,13.637,14.831,28.466,N,29.711,MS,7.742,61.525,13.042,295.8
1213,20/02/2018 12:00,0.01078,0.01025,0.02103,0.228,0.03335,MS,MS,2.943,-11.586,53.385,11.344,298.461,0.00148,0.01079,0.0128,0.02359,0.218,0.03201,2.283,-11.449,55.25,10.416,279.155,12.111,11.684,23.794,N,33.283,MS,3.767,58.521,14.374,295.668
1214,20/02/2018 13:00,0.01053,0.01007,0.0206,0.225,0.03374,MS,MS,2.869,-10.575,49.942,10.029,303.283,0.00143,0.00909,0.00937,0.01846,0.203,0.03491,1.622,-10.008,49.241,10.579,275.458,11.542,11.671,23.212,N,34.123,MS,2.985,56.36,12.165,295.602
1215,20/02/2018 14:00,0.005,0.00544,0.01044,0.202,0.03729,MS,MS,2.113,-10.073,47.107,11.903,312.561,0.00075,0.00667,0.00844,0.01511,0.193,0.03589,1.37,-8.884,43.554,8.424,297.941,8.788,8.515,17.302,N,36.462,MS,1.533,51.826,12.042,300.608
1216,20/02/2018 15:00,0.00358,0.00462,0.0082,0.197,0.03782,MS,MS,2.268,-9.504,45.51,10.336,326.427,0.0006,0.00486,0.00748,0.01235,0.184,0.03667,1.097,-8.645,41.306,11.128,329.278,7.945,8.672,16.617,N,36.7,MS,1.107,48.336,10.625,297.512
1217,20/02/2018 16:00,0.00285,0.00425,0.0071,0.198,0.0382,MS,MS,2.737,-8.955,43.216,11.034,344.042,0.00042,0.00567,0.00929,0.01497,0.196,0.03496,1.247,-8.239,40.533,8.75,330.247,5.942,7.867,13.809,N,37.426,MS,1.107,43.025,9.908,298.536
1218,20/02/2018 17:00,0.00247,0.00649,0.00895,0.223,0.03697,MS,MS,4.185,-9.4,44.145,11.236,355.191,0.00027,0.00878,0.01766,0.02642,0.239,0.02901,2.272,-10.636,57.573,8.132,110.517,1.882,4.984,6.866,N,39.324,MS,1.051,45.559,8.608,333.509
1219,20/02/2018 18:00,0.01119,0.02861,0.03979,0.308,0.01992,MS,MS,8.975,-11.63,61.795,5.455,139.653,0.0002,0.00894,0.0317,0.04063,0.301,0.01689,4.716,-12.501,62.241,5.142,101.78,2.047,13.622,15.668,N,31.475,MS,1.942,48.955,3.341,319.577
1220,20/02/2018 19:00,0.0072,0.04524,0.05243,0.449,0.00504,MS,MS,10.426,-11.758,62.953,3.089,55.849,0.00021,0.02018,0.04743,0.06758,0.406,0.00465,7.077,-12.179,65.171,2.374,46.58,1.138,12.932,14.071,N,31.56,MS,1.675,61.093,4.32,348.85
1221,20/02/2018 20:00,0.00061,0.0342,0.03481,0.356,0.013,MS,MS,6.726,-11.415,63.884,1.9,177.893,0.00029,0.03384,0.05358,0.08744,0.359,0.00108,8.12,-11.914,72.298,3.322,148.577,1.129,11.25,12.38,N,32.924,MS,0.895,65.253,2.655,351.888
1222,20/02/2018 21:00,0.00025,0.0219,0.02217,0.285,0.02262,MS,MS,4.011,-11.366,67.955,3.58,342.664,-0.00004,0.00744,0.03794,0.04542,0.301,0.01053,4.842,-12.45,89.328,4.058,187.803,1.151,14.843,15.996,N,29.575,MS,0.854,71.123,2.73,15.976
1223,20/02/2018 22:00,0.00042,0.02102,0.02142,0.342,0.02302,MS,MS,2.792,-11.658,72.144,5.992,337.014,-0.00003,0.00089,0.02216,0.02306,0.229,0.02404,1.8,-11.727,90.365,5.417,234.737,1.079,14.696,15.776,N,29.519,MS,1.459,75.637,4.099,333.841
1224,20/02/2018 23:00,0.004,0.0343,0.0383,0.394,0.01081,MS,MS,4.226,-12.663,84.295,3.106,1.575,0.00005,0.00953,0.0394,0.04894,0.303,0.00952,4.023,-12.135,90.616,3.863,242.161,3.071,33.997,37.07,N,13.009,MS,3.131,77.914,3.233,301.294
1225,21/02/2018 0:00,0.01279,0.04404,0.05682,0.496,0.00241,MS,MS,5.613,-14.065,91.417,0.529,347.779,0.00008,0.01122,0.04427,0.0555,0.335,0.00559,4.635,-13.052,92.755,3.645,258.405,3.365,35.415,38.782,N,11.325,MS,1.512,81.94,3.422,310.761
1226,21/02/2018 1:00,0.0391,0.04761,0.08671,0.759,0.00086,MS,MS,9.11,-15.387,90.32,2.033,0.078,0.00017,0.01619,0.04512,0.06132,0.321,0.0041,19.966,-14.736,93.99,2.597,233.623,4.101,33.562,37.66,N,12.698,MS,1.845,84.4,5.032,304.668
1227,21/02/2018 2:00,0.0621,0.0499,0.112,0.916,0.00103,MS,MS,9.727,-16.746,88.584,0.768,16.715,Z,Z,Z,Z,Z,Z,5.735,-15.651,93.389,3.301,248.477,1.598,18.319,19.919,N,24.1,MS,1.796,84.027,6.856,308.08
1228,21/02/2018 3:00,0.10327,0.05557,0.15884,1.156,0.00131,MS,MS,13.49,-17.546,86.793,0.439,346.616,0.00014,0.01092,0.04011,0.05105,0.292,0.00683,6.483,-17.003,93.089,4.87,269.224,1.558,16.829,18.39,N,25.399,MS,1.529,82.662,6.886,309.83
1229,21/02/2018 4:00,0.09452,0.05483,0.14934,1.051,0.00126,MS,MS,10.064,-19.142,85.635,1.549,224.076,0.00005,0.00673,0.03218,0.03892,0.248,0.01302,5.115,-18.296,89.693,4.912,269.766,1.541,17.074,18.618,N,24.419,MS,1.431,81.593,6.056,311.194
1230,21/02/2018 5:00,0.08399,0.05462,0.13861,0.843,0.00111,MS,MS,8.205,-20.985,82.573,0.333,266.996,0.00008,0.0102,0.0374,0.04762,0.242,0.00805,5.682,-19.996,89.802,4.711,252.122,1.625,17.319,18.946,N,23.594,MS,1.583,79.556,7.477,309.149
1231,21/02/2018 6:00,0.06727,0.05278,0.12005,0.587,0.00092,MS,MS,8.113,-21.162,82.293,0.305,266.306,0.00019,0.01549,0.03993,0.05543,0.266,0.00707,6.186,-21.03,87.737,6.218,257.854,3.173,19.442,22.618,N,20.801,MS,1.927,78.759,10.701,302.851
1232,21/02/2018 7:00,0.03968,0.04741,0.08705,0.429,0.00062,MS,MS,16.35,-21.451,80.664,2.574,234.483,0.00025,0.02279,0.04663,0.06944,0.33,0.00343,7.057,-21.406,86.143,6.151,261.698,2.278,19.045,21.315,N,21.234,MS,1.753,76.992,8.121,310.579
1233,21/02/2018 8:00,0.05525,0.04701,0.10219,0.437,0.00139,MS,MS,6.792,-21.863,80.028,1.861,212.523,0.00034,0.04297,0.05118,0.09416,0.47,0.00153,8.408,-21.78,86.618,5.081,257.038,10.217,29.549,39.738,N,14.303,MS,5.91,76.821,7.453,300.897
1234,21/02/2018 9:00,0.07636,0.04969,0.12606,0.626,0.00529,MS,MS,9.694,-20.359,82.701,2.436,231.039,0.00064,0.06518,0.04828,0.11348,0.679,0.00704,10.521,-21.259,84.882,5.417,266.219,20.383,27.792,48.212,N,16.199,MS,9.075,75.855,8.071,317.109
1235,21/02/2018 10:00,0.0972,0.04841,0.1456,0.781,0.00592,MS,MS,14.064,-17.011,84.892,M,M,0.00085,0.03212,0.02659,0.05873,0.399,0.02122,8.057,-19.462,77.542,8.76,275.949,19.514,20.759,40.269,N,24.71,MS,5.526,67.773,7.02,307.721
1236,21/02/2018 11:00,0.09187,0.04542,0.13728,0.706,0.00982,MS,MS,14.962,-13.447,83.426,M,M,0.00113,0.0214,0.01912,0.04055,0.282,0.02729,5.086,-16.251,67.294,7.431,271.755,20.227,17.919,38.149,N,28.178,MS,8.257,60.184,7.706,304.176
1237,21/02/2018 12:00,0.0675,0.03601,0.10351,0.576,0.02,MS,MS,12.768,-10.217,50.053,1.775,204.941,0.00147,0.01983,0.01755,0.03741,0.302,0.0293,5.807,-12.626,52.299,3.955,253.432,14.356,13.16,27.53,N,32.982,MS,9.889,47.606,7.623,298.927
1238,21/02/2018 13:00,0.04046,0.03228,0.07272,0.508,0.0212,MS,MS,11.125,-8.416,35.735,M,M,0.00153,0.02737,0.02277,0.05017,0.38,0.02741,8.419,-9.728,43.461,1.699,259.121,11.076,10.41,21.485,N,36.047,MS,6.462,35.919,4.952,264.39
1239,21/02/2018 14:00,0.02166,0.02002,0.04165,0.335,0.03269,MS,MS,11.742,-7.426,30.081,4.044,188.091,0.00102,0.03588,0.02838,0.06428,0.385,0.02537,11.545,-8.784,43.392,4.866,137.3,10.124,9.815,19.938,N,37.114,MS,6.687,33.85,7.118,287.287
1240,21/02/2018 15:00,0.02105,0.02016,0.04122,0.33,0.03132,MS,MS,13.11,-7.454,32.497,6.775,183.488,0.00099,0.03388,0.02975,0.06366,0.401,0.02428,18.076,-9.445,48.777,5.969,129.043,9.218,10.216,19.433,N,37.115,MS,6.792,31.44,4.953,264.764
1241,21/02/2018 16:00,0.01475,0.02021,0.03496,0.305,0.03048,MS,MS,13.726,-7.533,31.857,7.201,181.731,0.00084,0.02606,0.02945,0.05554,0.344,0.02371,11.366,-9.648,47.476,6.117,112.845,7.493,13.726,21.217,N,35.176,MS,7.042,30.758,0.611,25.179
1242,21/02/2018 17:00,0.01651,0.0281,0.04461,0.307,0.02342,MS,MS,15.549,-7.928,33.49,5.667,175.593,0.00063,0.02539,0.03329,0.05871,0.36,0.01685,9.26,-11.252,47.712,4.253,129.418,11.079,23.866,34.943,N,27.273,MS,6.725,35.443,5.238,139.161
1243,21/02/2018 18:00,0.03528,0.04729,0.08257,0.464,0.00824,MS,MS,20.951,-8.75,38.562,3.691,164.28,0.00054,0.02667,0.04391,0.0706,0.422,0.00731,12.697,-12.408,51.175,2.592,112.241,3.037,19.706,22.742,N,28.291,MS,3.238,36.126,3.037,180.432
1244,21/02/2018 19:00,0.04731,0.05478,0.10209,0.596,0.00091,MS,MS,29.821,-11.402,51.734,2.388,114.754,0.00066,0.0498,0.05254,0.10236,0.545,0.00022,17.806,-13.528,60.604,1.381,92.41,2.804,29.106,31.907,N,19.506,MS,2.456,39.289,1.737,211.968
1245,21/02/2018 20:00,0.06086,0.05661,0.11747,0.653,0.00087,MS,MS,30.554,-12.573,62.887,0.597,49.275,0.00115,0.10325,0.06105,0.16433,0.788,0.00015,20.409,-13.569,66.853,0.868,201.661,13.501,48.83,62.329,N,3.216,MS,5.016,46.52,2.486,284.151
1246,21/02/2018 21:00,0.11503,0.06233,0.17736,0.947,0.00118,MS,MS,34.436,-12.638,71.665,0.607,50.825,0.00098,0.0756,0.05646,0.13209,0.653,-0.00014,17.314,-14.116,65.667,0.195,135.203,16.469,48.025,64.491,N,5.02,MS,5.284,51.013,3.709,302.521
1247,21/02/2018 22:00,0.1729,0.06765,0.24055,1.287,0.00179,MS,MS,42.373,-13.31,80.655,0.934,36.601,0.00094,0.06416,0.05832,0.12247,0.635,0.00042,16.192,-12.781,63.369,3.822,264.21,5.664,33.694,39.354,N,15.628,MS,3.822,50.663,7.358,301.215
1248,21/02/2018 23:00,0.10058,0.06022,0.16076,1.178,0.00129,MS,MS,23.694,-12.4,65.451,6.752,346.797,0.00071,0.01893,0.04879,0.06774,0.391,0.00575,8.274,-11.832,51.159,9.586,264.708,2.581,22.748,25.323,N,24.978,MS,2.054,50.745,7.895,297.532
1249,22/02/2018 0:00,0.00478,0.02592,0.03068,0.303,0.0212,MS,MS,3.954,-10.311,46.319,12.555,327.093,0.00076,0.01015,0.04165,0.05182,0.318,0.00972,4.134,-11.93,52.505,6.057,278.852,2.923,19.802,22.721,N,26.772,MS,1.479,52.727,9.071,296.546
1250,22/02/2018 1:00,0.00048,0.01719,0.01767,0.187,0.02782,MS,MS,1.383,-10.167,45.465,10.99,323.875,0.00158,0.00562,0.03379,0.03944,0.287,0.01504,4.323,-11.819,53.465,5.318,286.217,1.552,14.271,15.819,N,31.004,MS,1.141,54.107,10.39,298.468
1251,22/02/2018 2:00,0.00061,0.0158,0.01641,0.186,0.02865,MS,MS,1.728,-10.62,53.611,12.409,327.245,Z,Z,Z,Z,Z,Z,3.503,-11.259,53.93,5.632,290.955,1.697,12.122,13.814,N,32.421,MS,0.839,57.35,10.632,297.617
1252,22/02/2018 3:00,0.00043,0.02056,0.02099,0.185,0.02422,MS,MS,0.974,-10.566,58.36,6.057,302.408,0.00052,0.00172,0.01656,0.01832,0.19,0.02823,3.011,-11.182,64.144,8.578,280.836,1.549,12.018,13.562,N,31.898,MS,0.769,61.325,10.156,298.274
1253,22/02/2018 4:00,0.00032,0.01306,0.01338,0.177,0.0302,MS,MS,0.931,-11.039,57.108,11.953,318.67,0.00057,0.00368,0.0267,0.03041,0.225,0.02016,2.617,-12.202,69.207,5.072,283.339,2.332,14.879,17.206,N,30.165,MS,0.659,64.26,9.423,296.441
1254,22/02/2018 5:00,0.0005,0.01999,0.02049,0.191,0.0242,MS,MS,1.048,-11.591,58.366,7.185,316.839,0.00044,0.00512,0.03327,0.03843,0.217,0.01444,2.474,-12.922,68.071,4.572,284.917,1.944,16.396,18.335,N,27.706,MS,0.78,65.686,8.175,298.752
1255,22/02/2018 6:00,0.00114,0.02556,0.0267,0.198,0.01877,MS,MS,1.372,-11.899,58.074,4.771,306.699,0.00049,0.0062,0.03225,0.03852,0.237,0.01528,3.332,-13.2,66.516,6.321,280.551,2.054,15.507,17.556,N,27.815,MS,0.705,65.672,10.197,298.106
1256,22/02/2018 7:00,0.00085,0.02502,0.02587,0.201,0.01901,MS,MS,1.34,-11.401,55.679,5.25,307.345,0.00045,0.00402,0.02479,0.02885,0.245,0.02002,3.934,-12.547,62.739,7.898,279.346,1.983,13.733,15.712,N,28.671,MS,0.739,64.602,11.728,299.797
1257,22/02/2018 8:00,0.0012,0.02498,0.02618,0.246,0.01888,MS,MS,1.539,-11.48,56.841,5.533,299.973,0.00043,0.00496,0.02708,0.03211,0.272,0.0176,3.95,-12.187,61.67,9.882,273.156,3.984,16.993,20.972,N,25.87,MS,2.394,64.575,12.756,297.205
1258,22/02/2018 9:00,0.00747,0.02463,0.03211,0.268,0.01966,MS,MS,2.272,-11.298,57.792,6.889,319.741,0.00072,0.01041,0.02697,0.03744,0.28,0.01902,4.343,-11.669,61.77,8.568,275.498,6.501,17.477,23.973,N,25.895,MS,1.959,63.661,9.792,312.163
1259,22/02/2018 10:00,0.00921,0.01842,0.02764,0.262,0.02522,MS,MS,2.19,-10.635,60.729,7.652,316.594,0.00107,0.0149,0.02378,0.03873,0.284,0.02201,4.127,-10.752,60.772,9.258,281.811,7.845,14.048,21.889,N,29.131,MS,1.667,68.893,11.148,304.539
1260,22/02/2018 11:00,0.00891,0.01193,0.02084,0.241,0.03105,MS,MS,1.635,-9.667,70.014,12.037,314.926,0.00093,0.01807,0.02126,0.0394,0.272,0.0251,4.957,-9.268,68.055,7.279,286.809,7.918,10.159,18.072,N,32.95,MS,1.388,74.726,12.999,302.629
1261,22/02/2018 12:00,0.00404,0.00542,0.00946,0.221,0.03625,MS,MS,0.932,-9.005,66.091,13.874,319.469,0.001,0.00918,0.01177,0.02101,0.214,0.03228,2.486,-8.055,67.64,8.623,312.748,8.989,9.438,18.423,N,34.809,MS,1.484,65.747,11.628,299.389
1262,22/02/2018 13:00,0.00725,0.00722,0.01446,0.249,0.03503,MS,MS,2.428,-7.469,59.111,5.764,300.089,0.00128,0.00681,0.00809,0.01497,0.204,0.03518,2.09,-7.023,59.431,7.674,328.148,8.17,8.498,16.664,N,36.552,MS,1.839,58.72,11.559,297.883
1263,22/02/2018 14:00,0.00562,0.00653,0.01215,0.255,0.0364,MS,MS,3.482,-6.816,59.285,5.791,3.488,0.00115,0.00984,0.01223,0.02214,0.231,0.03278,2.656,-4.906,53.177,4.999,57.787,7.543,7.882,15.421,N,37.007,MS,2.494,55.372,6.619,282.153
1264,22/02/2018 15:00,0.00462,0.00603,0.01066,0.259,0.03764,MS,MS,3.511,-6.862,61.035,2.961,9.653,0.00066,0.00642,0.00918,0.01567,0.219,0.0355,2.101,-5.515,59.495,7.571,78.684,1.977,3.868,5.842,N,39.782,MS,1.656,57.917,3.927,56.157
1265,22/02/2018 16:00,0.00493,0.00769,0.01262,0.257,0.03679,MS,MS,4.115,-7.24,65.154,7.821,120.765,0.00056,0.00565,0.00905,0.01478,0.207,0.03541,2.106,-7.068,67.654,9.575,130.496,4.237,8.014,12.253,N,36.974,MS,2.405,55.971,4.144,154.48
1266,22/02/2018 17:00,0.00929,0.01527,0.02457,0.296,0.03201,MS,MS,8.534,-7.696,68.17,7.099,138.521,0.00046,0.00714,0.01505,0.02227,0.236,0.03066,3.512,-8.337,73.488,9.048,128.947,7.148,17.983,25.124,N,28.966,MS,4.023,62.112,5.329,177.329
1267,22/02/2018 18:00,0.00818,0.02091,0.02906,0.322,0.0274,MS,MS,12.7,-8.543,71.955,6.898,160.522,0.00016,0.00458,0.02061,0.02527,0.271,0.02537,3.981,-10.108,80.266,7.411,141.989,3.878,21.562,25.436,N,25.534,MS,3.057,69.837,7.696,153.996
1268,22/02/2018 19:00,0.00359,0.03932,0.04292,0.494,0.01018,MS,MS,8.955,-9.767,76.977,5.731,171.618,0.00012,0.0018,0.02795,0.02984,0.307,0.01831,4.586,-11.638,86.892,7.347,157.721,1.373,25.91,27.27,N,20.899,MS,2.942,75.042,4.836,164.358
1269,22/02/2018 20:00,0.0041,0.03626,0.04035,0.371,0.0117,MS,MS,6.539,-10.899,81.177,6.741,177.067,0.00005,0.00063,0.02528,0.026,0.3,0.02085,6.08,-11.54,88.357,8.518,173.813,0.946,30.1,31.05,N,17.195,MS,2.84,79.273,4.531,165.503
1270,22/02/2018 21:00,0.00082,0.03143,0.03224,0.313,0.01522,MS,MS,5.027,-12.176,86.139,5.783,171.472,0.00009,0.00104,0.0274,0.02853,0.291,0.0179,6.396,-12.758,92.758,4.668,176.844,1.376,30.588,31.959,N,16.777,MS,2.961,81.39,5.882,166.194
1271,22/02/2018 22:00,0.00102,0.03188,0.03291,0.324,0.01524,MS,MS,5.603,-12.922,88.077,4.257,175.905,-0.00009,0.00676,0.03955,0.0464,0.346,0.00541,11.806,-15.835,94.625,4.148,124.932,0.533,30.41,30.942,N,16.602,MS,3.443,84.504,4.5,149.935
1272,22/02/2018 23:00,0.0044,0.04437,0.04877,0.373,0.00384,MS,MS,7.637,-14.338,91.681,1.546,163.728,-0.00019,0.00369,0.04129,0.04509,0.301,0.00451,15.228,-16.83,93.764,3.68,103.283,9.014,43.792,52.777,N,5.118,MS,5.08,84.366,1.859,70.479
1273,23/02/2018 0:00,0.04043,0.05239,0.09284,0.555,0.00124,MS,MS,19.061,-15.386,89.71,2.766,118.671,-0.00026,0.00494,0.04148,0.04653,0.292,0.00433,21.458,-18.45,92.874,4.536,119.437,26.219,51.673,77.894,N,0.942,MS,8.042,85.992,2.372,324.651
1274,23/02/2018 1:00,0.06163,0.05576,0.11739,0.569,0.00113,MS,MS,19.079,-16.422,88.018,1.966,127.211,-0.00026,0.00465,0.04336,0.04811,0.293,0.00372,21.239,-18.415,91.676,0.779,263.598,4.091,32.011,36.126,N,15.374,MS,3.051,84.981,5.333,301.271
1275,23/02/2018 2:00,0.07079,0.0553,0.12609,0.574,0.00098,MS,MS,21.079,-17.804,87.159,1.595,186.467,Z,Z,Z,Z,Z,Z,14.502,-16.811,92.213,4.512,256.007,3.979,31.813,35.794,N,13.423,MS,3.487,84.169,6.95,306.875
1276,23/02/2018 3:00,0.08043,0.05492,0.13536,0.587,0.00129,MS,MS,23.175,-19.381,85.889,1.427,176.545,-0.00022,0.00903,0.0451,0.05423,0.348,0.00252,7.735,-17.304,91.807,4.977,257.377,2.357,26.865,29.22,N,14.577,MS,4.082,82.196,7.812,308.191
1277,23/02/2018 4:00,0.07684,0.05282,0.12966,0.538,0.00124,MS,MS,15.204,-19.736,84.51,1.991,223.783,-0.00019,0.00983,0.04316,0.05308,0.305,0.00363,7.166,-18.446,91.214,6.432,273.243,2.082,23.07,25.15,N,16.658,MS,3.39,81.274,8.158,307.701
1278,23/02/2018 5:00,0.06491,0.05025,0.11516,0.487,0.00119,MS,MS,14.49,-20.385,83.311,1.622,246.637,-0.00029,0.00409,0.02767,0.03186,0.239,0.01563,3.858,-19.248,88.888,6.801,279.586,3.311,27.865,31.174,N,13.346,MS,3.734,80.647,7.239,309.917
1279,23/02/2018 6:00,0.11874,0.05699,0.17572,0.736,0.00138,MS,MS,17.087,-20.68,83.384,0.986,242.501,-0.00022,0.00634,0.03204,0.03847,0.246,0.01211,4.129,-19.739,87.603,6.578,276.922,3.345,26.769,30.112,N,14.628,MS,2.644,80.304,7.826,310.324
1280,23/02/2018 7:00,0.0993,0.05496,0.15423,0.721,0.00114,MS,MS,12.102,-20.995,81.866,1.506,243.99,-0.00016,0.00535,0.02573,0.03117,0.247,0.01751,3.592,-19.646,82.078,10.438,273.727,4.011,28.2,32.21,N,13.571,MS,2.303,78.994,8.07,311.704
1281,23/02/2018 8:00,0.10709,0.05559,0.16264,0.69,0.00128,MS,MS,8.667,-20.639,82.552,1.438,269.299,-0.00018,0.00842,0.02911,0.0376,0.344,0.0147,3.979,-19.626,78.853,8.933,277.54,10.72,34.219,44.938,N,10.704,MS,3.459,77.662,8.479,311.579
1282,23/02/2018 9:00,0.16377,0.06656,0.2303,0.913,0.00435,MS,MS,13.72,-17.604,86.043,1.508,270.335,0.00031,0.05042,0.04289,0.09339,0.559,0.00871,7.793,-18.552,78.89,4.339,269.532,18.307,29.466,47.771,N,17.47,MS,3.215,73.34,7.93,306.713
1283,23/02/2018 10:00,0.18125,0.06098,0.24222,1.177,0.00616,MS,MS,17.149,-13.693,88.032,0.676,227.726,0.00048,0.04679,0.03412,0.08091,0.55,0.01766,6.639,-16.161,72.675,6.109,266.408,23.21,24.471,47.68,N,25.422,MS,5.365,62.862,9.291,298.846
1284,23/02/2018 11:00,0.1205,0.05627,0.17677,0.882,0.01231,MS,MS,18.901,-11.562,86.154,1.087,178.118,0.00042,0.03823,0.03015,0.06845,0.459,0.02143,8.126,-12.044,61.127,3.18,208.348,24.285,23.348,47.631,N,28.364,MS,11.298,50.273,7.716,294.758
1285,23/02/2018 12:00,0.07937,0.04282,0.12217,0.711,0.01994,MS,MS,37.071,-7.706,54.395,4.025,187.132,0.00065,0.03744,0.0292,0.06672,0.467,0.02327,16.463,-8.024,48.643,3.828,201.541,18.915,17.678,36.593,N,32.288,MS,13.473,42.16,8.915,287.431
1286,23/02/2018 13:00,0.03381,0.02679,0.06061,0.478,0.02812,MS,MS,28.841,-4.341,40.332,6.026,183.988,0.00076,0.03704,0.03171,0.06877,0.472,0.02529,14.121,-4.747,40.06,3.62,178.381,12.219,12.782,25.001,N,38.177,MS,7.932,35.979,14.05,293.975
1287,23/02/2018 14:00,0.02372,0.0203,0.04402,0.406,0.03358,MS,MS,13.408,-0.819,35.463,6.48,267.023,0.00068,0.03627,0.03151,0.06782,0.404,0.02491,13.662,-3.579,42.809,5.178,161.892,5.923,7.372,13.295,N,43.21,MS,4.227,32.322,17.276,297.065
1288,23/02/2018 15:00,0.00372,0.00647,0.0102,0.217,0.04296,MS,MS,2.351,0.898,32.086,20.981,291.113,0.00087,0.00806,0.01289,0.02099,0.223,0.03835,4.957,-0.591,30.523,7.658,217.393,4.452,6.851,11.303,N,43.262,MS,4.527,34.688,18.05,294.606
1289,23/02/2018 16:00,0.00252,0.00624,0.00876,0.214,0.04193,MS,MS,2.237,-0.082,34.502,27.34,291.573,0.00153,0.00427,0.00829,0.01263,0.184,0.03989,4.911,0.725,33.567,17.9,288.654,2.883,6.508,9.392,N,42.276,MS,3.507,40.333,19.077,300.409
1290,23/02/2018 17:00,0.00152,0.00696,0.00847,0.223,0.04083,MS,MS,2.182,-0.723,36.124,24.475,292.232,0.00341,0.00448,0.00713,0.01166,0.169,0.0402,3.348,0.001,34.924,21.155,290.028,2.086,6.971,9.058,N,41.596,MS,3.31,43.476,17.115,297.781
1291,23/02/2018 18:00,0.00141,0.01056,0.01199,0.23,0.03756,MS,MS,2.647,-1.519,36.475,20.989,287.257,0.0027,0.00635,0.0092,0.01559,0.173,0.03789,2.868,-1.013,35.211,16.675,288.538,1.176,5.995,7.172,N,42.122,MS,2.713,43.121,17.85,297.442
1292,23/02/2018 19:00,0.00038,0.00943,0.00982,0.215,0.03776,MS,MS,2.463,-2.383,37.308,23.599,291.779,0.00233,0.00363,0.00715,0.01081,0.161,0.03929,2.973,-1.762,35.041,18.023,288.999,1.038,8.445,9.485,N,39.583,MS,2.586,44.083,16.141,295.179
1293,23/02/2018 20:00,0.0003,0.01057,0.01088,0.208,0.03637,MS,MS,2.66,-2.942,38.514,17.939,291.735,0.00069,0.0011,0.00653,0.00765,0.17,0.03926,3.317,-2.279,35.949,13.773,290.696,0.844,7.719,8.565,N,39.906,MS,1.259,43.171,16.018,297.308
1294,23/02/2018 21:00,0.00017,0.00762,0.00779,0.195,0.03858,MS,MS,2.404,-3.16,39.251,23.169,292.18,0.00069,0.00068,0.00546,0.00616,0.166,0.03976,3.596,-2.615,36.906,14.571,287.656,0.649,4.075,4.726,N,42.66,MS,0.81,43.717,20.54,300.287
1295,23/02/2018 22:00,0.00034,0.00729,0.00764,0.193,0.03808,MS,MS,2.319,-3.413,39.179,26.523,290.735,0.00095,0.00108,0.00465,0.00575,0.165,0.0395,3.6,-2.877,37.608,17.442,277.948,0.793,4.733,5.528,N,41.297,MS,1.024,45.524,17.841,298.004
1296,23/02/2018 23:00,0.00028,0.00738,0.00767,0.19,0.03735,MS,MS,2.113,-3.353,36.562,24.761,287.307,0.00047,0.00134,0.00487,0.00623,0.162,0.03877,3.348,-2.875,36.848,16.252,284.324,0.904,5.678,6.584,N,39.893,MS,0.948,44.199,17.321,295.149
